,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
0,Martin Brodeur,N.J,77,4479.0166666667,2004,1836,168,0.916,2.25,9.81,159.74,488,405,83,0.83,1.11,6.46,537,493,44,0.918,0.59,1.71,927,886,41,0.956,0.55,-6.32,88,155,35.65,26.87
1,Chris Osgood,DET,23,1252.0333333333,561,498,63,0.888,3.02,-13.22,49.28,154,125,29,0.812,1.39,-0.77,142,122,20,0.859,0.96,-7.91,245,231,14,0.943,0.67,-4.84,41,44,34.7,25.9
2,Nikolai Khabibulin,EDM,18,1089.1166666667,602,547,55,0.909,3.03,-1.59,48.93,156,129,27,0.827,1.49,1.6,132,119,13,0.902,0.72,-1.76,301,286,15,0.95,0.83,-3.74,35,58,36.85,24.58
3,Manny Legace,CAR,28,1472.0333333333,745,676,69,0.907,2.81,-2.9,70.85,203,167,36,0.823,1.47,1.21,171,155,16,0.906,0.65,-1.45,340,323,17,0.95,0.69,-4.28,47,90,35.32,21.67
4,Patrick Lalime,BUF,16,853.78333333333,432,392,40,0.907,2.81,-1.67,38.53,113,91,22,0.805,1.55,-1.29,114,105,9,0.921,0.63,0.7,193,185,8,0.959,0.56,-0.78,27,37,36.71,27.08
5,Jose Theodore,WSH,47,2585.6333333333,1352,1231,121,0.911,2.81,-1.04,121.53,394,327,67,0.83,1.55,5.23,379,347,32,0.916,0.74,0.26,546,524,22,0.96,0.51,-1.58,64,131,34.45,25.11
6,Marty Turco,DAL,53,3082.85,1605,1465,140,0.913,2.72,2.41,131.17,408,330,78,0.809,1.52,-3.21,381,351,30,0.921,0.58,2.43,778,747,31,0.96,0.6,-1.9,104,147,35.7,23.45
7,Tim Thomas,BOS,43,2441.8666666667,1221,1117,104,0.915,2.56,4.34,92.13,306,246,60,0.804,1.47,-3.91,302,278,24,0.921,0.59,1.7,564,545,19,0.966,0.47,2.1,63,97,37.45,24.46
8,Johan Hedberg,ATL,47,2632.8166666667,1356,1241,115,0.915,2.62,5.31,121.83,415,351,64,0.846,1.46,12.08,375,346,29,0.923,0.66,2.92,536,517,19,0.965,0.43,1.05,73,139,33.99,25.44
9,Evgeni Nabokov,S.J,71,4194.1333333333,2168,1998,170,0.922,2.43,22.36,191.58,560,459,101,0.82,1.44,1.66,576,538,38,0.934,0.54,11.03,962,931,31,0.968,0.44,4.99,116,216,34.84,21.87
