,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
0,Martin Brodeur,STL,7,355.71666666667,169,152,17,0.899,2.87,-2.57,13.62,36,29,7,0.806,1.18,-0.56,61,53,8,0.869,1.35,-2.63,65,64,1,0.985,0.17,1.2,15,18,35.02,22.35
1,Evgeni Nabokov,T.B,11,553.43333333333,245,216,29,0.882,3.14,-8.09,22.94,78,62,16,0.795,1.73,-2.04,65,58,7,0.892,0.76,-1.28,100,95,5,0.95,0.54,-1.62,7,30,31.6,25.21
2,Roberto Luongo,FLA,61,3523.1833333333,1743,1605,138,0.921,2.35,10.79,135.37,400,332,68,0.83,1.16,3.57,433,391,42,0.903,0.72,-3.88,859,832,27,0.969,0.46,2.03,70,151,37.42,24.67
3,Scott Clemmensen,N.J,3,101.58333333333,54,46,8,0.852,4.73,-3.39,5.04,19,14,5,0.737,2.95,-1.6,19,17,2,0.895,1.18,-0.33,15,14,1,0.933,0.59,-0.49,2,2,28.17,20.88
4,Jason LaBarbera,ANA,5,207.46666666667,99,90,9,0.909,2.6,-0.55,6.75,23,20,3,0.87,0.87,1.12,25,22,3,0.88,0.87,-0.8,44,41,3,0.932,0.87,-1.51,7,10,38.34,23.44
5,Craig Anderson,OTT,35,2092.5166666667,1134,1047,87,0.923,2.49,9.8,88.58,253,203,50,0.802,1.43,-4.73,276,258,18,0.935,0.52,6.3,563,544,19,0.966,0.54,0.02,42,93,36.39,23.15
6,Rob Zepp,PHI,10,519.01666666667,223,198,25,0.888,2.89,-5.96,21.69,63,51,12,0.81,1.39,-0.73,42,33,9,0.786,1.04,-5.3,114,110,4,0.965,0.46,-0.15,16,26,36.48,24.12
7,Ryan Miller,VAN,45,2541.5166666667,1199,1092,107,0.911,2.53,-4.65,105.73,318,269,49,0.846,1.16,7.9,322,282,40,0.876,0.94,-11.65,518,500,18,0.965,0.42,-0.5,58,126,34.8,25.12
8,Ilya Bryzgalov,ANA,8,329.48333333333,150,127,23,0.847,4.19,-10.2,11.51,33,23,10,0.697,1.82,-4.1,50,42,8,0.84,1.46,-3.6,60,55,5,0.917,0.91,-2.97,9,11,37.11,24.35
9,Dan Ellis,FLA,8,486.46666666667,221,202,19,0.914,2.34,-0.13,17.27,50,44,6,0.88,0.74,2.95,63,60,3,0.952,0.37,2.55,101,91,10,0.901,1.23,-6.59,15,12,34.89,31.42
10,Henrik Lundqvist,NYR,46,2742.6,1329,1226,103,0.922,2.25,10.45,116.34,364,303,61,0.832,1.33,4.13,313,288,25,0.92,0.55,2.56,605,589,16,0.974,0.35,4.44,65,126,34.0,22.51
11,Ray Emery,PHI,31,1569.5166666667,758,678,80,0.894,3.06,-15.3,66.54,209,163,46,0.78,1.76,-8.61,171,148,23,0.865,0.88,-7.94,351,340,11,0.969,0.42,0.86,36,106,35.08,22.46
12,Mike Smith,ARI,62,3559.4,1955,1768,187,0.904,3.15,-20.12,164.09,547,435,112,0.795,1.89,-14.13,516,472,44,0.915,0.74,1.43,838,808,30,0.964,0.51,-1.68,102,200,34.53,22.09
13,Mike McKenna,ARI,1,60.0,34,29,5,0.853,5.0,-2.1,2.14,10,7,3,0.7,3.0,-1.21,6,5,1,0.833,1.0,-0.47,15,14,1,0.933,1.0,-0.49,1,1,38.26,23.60
14,Kari Lehtonen,DAL,65,3697.6833333333,1875,1694,181,0.903,2.94,-20.94,166.82,519,414,105,0.798,1.7,-12.14,515,467,48,0.907,0.78,-2.66,777,750,27,0.965,0.44,-0.74,105,241,34.73,22.96
15,Curtis McElhinney,CBJ,32,1710.0166666667,949,867,82,0.914,2.88,-0.99,79.45,265,217,48,0.819,1.68,-0.59,224,200,24,0.893,0.84,-4.28,425,415,10,0.976,0.35,4.36,42,90,34.77,20.49
16,Cam Ward,CAR,51,3007.1833333333,1351,1230,121,0.91,2.41,-5.68,115.6,348,275,73,0.79,1.46,-10.74,345,313,32,0.907,0.64,-1.62,618,602,16,0.974,0.32,4.88,55,141,35.31,20.84
17,Marc-Andre Fleury,PIT,64,3776.7166666667,1831,1685,146,0.92,2.32,10.3,159.72,520,434,86,0.835,1.37,7.04,456,413,43,0.906,0.68,-2.85,779,762,17,0.978,0.27,9.32,105,187,34.82,22.17
18,Corey Crawford,CHI,57,3332.7,1661,1535,126,0.924,2.27,15.79,135.77,452,373,79,0.825,1.42,1.87,412,381,31,0.925,0.56,5.27,758,743,15,0.98,0.27,10.61,67,151,34.02,20.94
19,Jimmy Howard,DET,53,2970.6166666667,1347,1226,121,0.91,2.44,-6.02,107.3,325,261,64,0.803,1.29,-5.85,316,286,30,0.905,0.61,-2.18,654,629,25,0.962,0.5,-2.9,54,94,36.79,25.63
20,Jaroslav Halak,NYI,59,3549.95,1672,1528,144,0.914,2.43,-1.27,160.36,559,483,76,0.864,1.28,24.02,470,425,45,0.904,0.76,-3.62,567,545,22,0.961,0.37,-2.84,100,150,32.35,23.37
21,Brian Elliott,STL,46,2545.8,1150,1054,96,0.917,2.26,2.17,93.96,267,212,55,0.794,1.3,-7.23,360,337,23,0.936,0.54,8.7,484,466,18,0.963,0.42,-1.64,66,98,34.25,23.64
