,PlayerID,Player,Team,Position,Headshot,Team Logo,Jersey Number,playerStripped,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
0,8478460,Zach Werenski,CBJ,D,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8478460.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,8,zachwerenski,3.0,81.833333333333,27.277777777778,89.45,63.79,58.37,60.12,48.39,55.41,43.99,35.93,55.05,4.4,2.2,66.67,4.58,3.34,57.83,39.59,26.4,60.0,11.73,11.73,50.00,1.47,1.47,50.00,37.15,19.55,65.52,2.93,0.0,100.00,96.37,59.31,61.90,1.06,0.0,100.00,10.00,93.88,1.039,14.66,9.53,9.53,29.33,60.61,41.06,11.0,18.33,69.14
1,8477948,Travis Sanheim,PHI,D,https://assets.nhle.com/mugs/nhl/20252026/PHI/8477948.png,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,6,travissanheim,3.0,81.75,27.25,54.31,71.19,43.27,42.57,52.11,44.96,23.49,35.23,40.0,4.4,2.2,66.67,5.35,4.37,55.02,32.29,34.5,48.35,18.35,14.68,55.56,1.47,1.47,50.00,18.59,26.42,41.3,3.91,0.98,80.00,33.92,62.55,35.16,0.0,0.0,-,18.75,93.75,1.125,5.87,11.74,19.08,37.43,23.53,14.68,21.28,38.17,27.78
2,8480803,Evan Bouchard,EDM,D,https://assets.nhle.com/mugs/nhl/20252026/EDM/8480803.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,2,evanbouchard,2.0,54.416666666667,27.208333333333,88.21,37.49,70.18,69.46,23.15,75.0,51.82,14.33,78.33,3.31,1.1,75.00,6.65,1.76,79.08,59.54,18.74,76.06,26.46,5.51,82.76,2.21,1.1,66.67,44.1,17.64,71.43,1.47,0.0,100.00,57.34,35.04,62.07,0.0,0.0,-,6.38,92.31,0.987,6.62,6.62,11.03,29.77,37.50,27.57,12.13,18.74,59.52
3,8480839,Rasmus Dahlin,BUF,D,https://assets.nhle.com/mugs/nhl/20252026/BUF/8480839.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,26,rasmusdahlin,3.0,79.666666666667,26.555555555556,76.07,48.2,61.21,55.73,40.67,57.81,36.15,27.87,56.47,1.51,3.77,28.57,2.54,3.74,40.39,23.35,21.09,52.54,6.03,8.28,42.11,0.0,1.51,0.00,23.1,17.07,57.5,0.0,2.01,0.00,84.85,43.51,66.10,2.18,0.0,100.00,4.17,86.49,0.907,11.3,12.8,6.03,41.42,65.22,33.14,18.83,11.3,74.58
4,8481605,Jackson LaCombe,ANA,D,https://assets.nhle.com/mugs/nhl/20252026/ANA/8481605.png,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,2,jacksonlacombe,2.0,52.65,26.325,84.33,35.33,70.48,60.4,26.21,69.74,37.61,17.09,68.75,5.7,4.56,55.56,3.27,2.43,57.41,33.05,19.37,63.04,14.81,3.42,81.25,3.42,0.0,100.00,24.31,21.27,53.33,3.04,6.08,33.33,77.37,36.21,68.12,0.0,0.0,-,15.15,73.33,0.885,21.65,12.54,9.12,28.49,70.37,34.19,17.09,17.09,66.67
5,8480036,Miro Heiskanen,DAL,D,https://assets.nhle.com/mugs/nhl/20252026/DAL/8480036.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,4,miroheiskanen,2.0,52.15,26.075,54.07,52.92,50.54,41.42,37.97,52.17,29.91,24.16,55.32,3.45,3.45,50.00,4.21,2.5,62.71,34.52,27.61,55.56,13.81,11.51,54.55,3.45,1.15,75.00,27.61,21.48,56.25,0.0,3.07,0.00,46.53,43.21,51.85,0.0,0.0,-,11.54,85.71,0.973,8.05,10.35,13.81,28.76,36.84,23.01,19.56,24.16,48.78
6,8480800,Quinn Hughes,VAN,D,https://assets.nhle.com/mugs/nhl/20252026/VAN/8480800.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,43,quinnhughes,3.0,77.616666666667,25.872222222222,73.44,56.43,56.55,52.57,42.52,55.28,30.15,29.38,50.65,2.32,3.87,37.50,3.99,3.2,55.53,34.79,23.19,60.0,12.37,9.28,57.14,1.55,0.77,66.67,29.89,18.55,61.7,1.03,2.06,33.33,68.11,42.43,61.62,0.0,0.0,-,7.69,86.84,0.945,6.96,10.05,3.87,30.92,64.29,27.83,13.91,10.05,73.47
7,8479410,Mikhail Sergachev,UTA,D,https://assets.nhle.com/mugs/nhl/20252026/UTA/8479410.png,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg?season=20252026,98,mikhailsergachev,3.0,77.333333333333,25.777777777778,54.31,58.19,48.28,38.02,41.12,48.04,24.83,23.28,51.61,1.55,2.33,40.00,2.3,4.01,36.4,24.05,33.36,41.89,8.53,16.29,34.38,0.78,0.78,50.00,20.69,22.76,47.62,1.03,1.03,50.00,52.67,53.79,49.47,0.0,1.12,0.00,6.25,90.00,0.963,7.76,12.41,16.29,32.59,32.26,25.6,20.17,30.26,45.83
8,8481542,Moritz Seider,DET,D,https://assets.nhle.com/mugs/nhl/20252026/DET/8481542.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg?season=20252026,53,moritzseider,3.0,77.266666666667,25.755555555556,55.91,51.25,52.17,44.26,36.5,54.81,30.28,25.63,54.17,4.66,3.11,60.00,4.37,1.85,70.25,32.61,27.96,53.85,15.53,6.21,71.43,2.33,1.55,60.00,22.78,28.99,44.0,2.07,2.07,50.00,38.14,48.23,44.16,0.0,0.0,-,15.38,87.88,1.033,8.54,12.42,10.09,37.27,45.83,15.53,23.3,22.52,40.82
9,8478402,Connor McDavid,EDM,C,https://assets.nhle.com/mugs/nhl/20252026/EDM/8478402.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,97,connormcdavid,2.0,50.833333333333,25.416666666667,81.44,28.33,74.19,64.92,18.89,77.46,47.21,14.16,76.92,4.72,0.0,100.00,7.13,1.1,86.61,53.11,15.34,77.59,25.97,1.18,95.65,2.36,0.0,100.00,36.2,18.89,65.71,1.57,0.0,100.00,51.15,22.16,69.77,0.0,0.0,-,10.00,100.00,1.1,8.26,4.72,9.44,28.33,46.67,25.97,11.8,14.16,64.71
