,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
0,Anaheim Ducks,82,5014:39,47,27,8,39,102,0.622,3935,3832,50.66,3142,3112,50.24,2241,2300,49.35,197,184,51.71,188.94,202.25,48.3,1812,1841,49.6,1169,1236,48.61,151,146,50.84,12.92,88.19,689,754,47.75,538,607,46.99,101,92,52.33,18.77,84.84,1123,1087,50.81,631,629,50.08,50,54,48.08,7.92,91.41,1845,1766,51.09,997,1001,49.9,38,35,52.05,3.81,96.5,8.79,92.0,1.008
1,Atlanta Thrashers,82,5011:47,34,40,8,25,76,0.463,3652,4763,43.4,2801,3687,43.17,2115,2782,43.19,207,266,43.76,183.42,222.9,45.14,1759,2199,44.44,1142,1439,44.25,162,210,43.55,14.19,85.41,669,826,44.75,541,675,44.49,112,143,43.92,20.7,78.81,1090,1373,44.25,601,764,44.03,50,67,42.74,8.32,91.23,1656,2244,42.46,943,1280,42.42,43,54,44.33,4.56,95.78,9.79,90.44,1.002
2,Boston Bruins,82,5003:19,41,29,12,35,94,0.573,4187,4226,49.77,3228,3348,49.09,2339,2498,48.36,206,215,48.93,183.03,204.9,47.18,1817,2001,47.59,1171,1294,47.51,159,176,47.46,13.58,86.4,638,815,43.91,514,669,43.45,96,117,45.07,18.68,82.51,1179,1186,49.85,657,625,51.25,63,59,51.64,9.59,90.56,2010,1897,51.45,1034,1070,49.14,43,36,54.43,4.16,96.64,8.81,91.39,1.002
3,Buffalo Sabres,82,5011:10,39,31,12,35,90,0.549,4293,4257,50.21,3339,3222,50.89,2478,2326,51.58,251,233,51.86,213.71,199.7,51.69,1929,1909,50.26,1314,1244,51.37,196,174,52.97,14.92,86.01,818,701,53.85,677,567,54.42,147,119,55.26,21.71,79.01,1111,1208,47.91,637,677,48.48,49,55,47.12,7.69,91.88,2054,2061,49.91,1117,1027,52.1,50,56,47.17,4.48,94.55,10.13,89.98,1.001
4,Carolina Hurricanes,82,4964:26,43,33,6,41,92,0.561,4882,4376,52.73,3661,3320,52.44,2669,2368,52.99,250,246,50.4,236.26,224.42,51.29,2185,2111,50.86,1355,1309,50.86,201,203,49.75,14.83,84.49,942,914,50.75,692,696,49.86,143,148,49.14,20.66,78.74,1243,1197,50.94,663,613,51.96,58,55,51.33,8.75,91.03,2260,1928,53.96,1222,1013,54.68,47,41,53.41,3.85,95.95,9.37,89.61,0.99
5,Columbus Blue Jackets,82,4987:34,34,36,12,31,80,0.488,4175,3852,52.01,3190,2966,51.82,2381,2249,51.43,190,210,47.5,198.64,181.94,52.19,1824,1664,52.29,1164,1105,51.3,152,165,47.95,13.06,85.07,754,640,54.09,594,519,53.37,106,107,49.77,17.85,79.38,1070,1024,51.1,570,586,49.31,46,58,44.23,8.07,90.1,1949,1861,51.15,1129,1090,50.88,33,40,45.21,2.92,96.33,7.98,90.66,0.986
6,Calgary Flames,82,4982:30,42,30,10,39,94,0.573,4244,3928,51.93,3260,3164,50.75,2316,2335,49.8,226,224,50.22,219.35,191.24,53.42,1955,1747,52.81,1291,1218,51.45,183,168,52.14,14.18,86.21,799,731,52.22,609,568,51.74,114,105,52.05,18.72,81.51,1156,1016,53.22,682,650,51.2,69,63,52.27,10.12,90.31,1869,1844,50.34,960,1052,47.71,41,54,43.16,4.27,94.87,9.76,90.41,1.002
7,Chicago Blackhawks,82,4984:25,40,34,8,35,88,0.537,3768,3896,49.16,2954,3005,49.57,2298,2346,49.48,234,231,50.32,197.36,205.15,49.03,1790,1908,48.4,1255,1358,48.03,194,183,51.46,15.46,86.52,713,755,48.57,599,653,47.84,118,122,49.17,19.7,81.32,1077,1153,48.3,656,705,48.2,76,61,55.47,11.59,91.35,1754,1706,50.69,1008,933,51.93,40,43,48.19,3.97,95.39,10.18,90.15,1.003
8,Colorado Avalanche,82,4988:12,44,31,7,37,95,0.579,3941,4212,48.34,3074,3131,49.54,2349,2237,51.22,224,216,50.91,207.7,195.22,51.55,2017,1955,50.78,1349,1201,52.9,188,170,52.51,13.94,85.85,919,791,53.74,740,604,55.06,132,113,53.88,17.84,81.29,1098,1164,48.54,609,597,50.5,56,57,49.56,9.2,90.45,1631,1903,46.15,934,957,49.39,30,41,42.25,3.21,95.72,9.54,90.34,0.999
9,Dallas Stars,82,4975:07,45,30,7,40,97,0.591,4055,3796,51.65,3080,3003,50.63,2187,2137,50.58,237,204,53.74,195.16,192.09,50.4,1835,1866,49.58,1139,1197,48.76,202,171,54.16,17.73,85.71,680,716,48.71,511,553,48.03,131,109,54.58,25.64,80.29,1155,1150,50.11,628,644,49.37,71,62,53.38,11.31,90.37,1930,1670,53.61,995,885,52.93,32,31,50.79,3.22,96.5,10.84,90.45,1.013
