,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,Martin Brodeur,N.J,G,53,1972-05-06,Montreal,QC,CAN,CAN,74,220,1990,N.J,1,20,20
1,Chris Osgood,DET,G,52,1972-11-26,Peace River,AB,CAN,CAN,70,180,1991,DET,3,10,54
2,Nikolai Khabibulin,EDM,G,52,1973-01-13,Sverdlovsk,,RUS,RUS,73,208,1992,WIN,9,12,204
3,Manny Legace,CAR,G,52,1973-02-04,Toronto,ON,CAN,CAN,70,200,1993,HFD,8,6,188
4,Patrick Lalime,BUF,G,51,1974-07-07,St. Bonaventure,QC,CAN,CAN,75,192,1993,PIT,6,26,156
5,Jose Theodore,WSH,G,48,1976-09-13,Laval,QC,CAN,CAN,71,172,1994,MTL,2,18,44
6,Marty Turco,DAL,G,50,1975-08-13,Sault Ste. Marie,ON,CAN,CAN,71,184,1994,DAL,5,20,124
7,Tim Thomas,BOS,G,51,1974-04-15,Flint,MI,USA,USA,71,201,1994,QUE,9,9,217
8,Johan Hedberg,ATL,G,52,1973-05-05,Leksand,,SWE,SWE,72,190,1994,PHI,9,10,218
9,Evgeni Nabokov,S.J,G,50,1975-07-25,Kamenogorsk,,KAZ,RUS,72,202,1994,S.J,9,11,219
10,Tomas Vokoun,FLA,G,49,1976-07-02,Karlovy Vary,,CZE,CZE,73,210,1994,MTL,9,18,226
11,Dwayne Roloson,NYI,G,55,1969-10-12,Simcoe,ON,CAN,CAN,73,170,-,-,-,-,-
12,Jean-Sebastien Giguere,"ANA, TOR",G,48,1977-05-16,Montreal,QC,CAN,CAN,73,202,1995,HFD,1,13,13
13,Martin Biron,NYI,G,47,1977-08-15,Lac St. Charles,QC,CAN,CAN,74,186,1995,BUF,1,16,16
14,Brian Boucher,PHI,G,48,1977-01-02,Woonsocket,RI,USA,USA,74,200,1995,PHI,1,22,22
15,Vesa Toskala,"CGY, TOR",G,48,1977-05-20,Tampere,,FIN,FIN,70,198,1995,S.J,4,12,90
16,Miikka Kiprusoff,CGY,G,48,1976-10-26,Turku,,FIN,FIN,73,185,1995,S.J,5,12,116
17,Chris Mason,STL,G,49,1976-04-20,Red Deer,AB,CAN,CAN,72,198,1995,N.J,5,18,122
18,Brent Johnson,PIT,G,48,1977-03-12,Farmington,MI,USA,USA,75,199,1995,COL,5,25,129
19,Mathieu Garon,CBJ,G,47,1978-01-09,Chandler,QC,CAN,CAN,73,198,1996,MTL,2,18,44
20,Steve Valiquette,NYR,G,47,1977-08-20,Etobicoke,ON,CAN,CAN,78,210,1996,L.A,8,1,190
21,Roberto Luongo,VAN,G,46,1979-04-04,Montreal,QC,CAN,CAN,75,215,1997,NYI,1,4,4
22,Scott Clemmensen,FLA,G,48,1977-07-23,Des Moines,IA,USA,USA,74,200,1997,N.J,8,25,215
23,Jason LaBarbera,PHX,G,45,1980-01-18,Burnaby,BC,CAN,CAN,75,232,1998,NYR,3,8,66
24,Andrew Raycroft,VAN,G,45,1980-05-04,Belleville,ON,CAN,CAN,73,180,1998,BOS,5,21,135
25,Antero Niittymaki,T.B,G,45,1980-06-18,Turku,,FIN,FIN,73,195,1998,PHI,6,23,168
26,Alex Auld,"DAL, NYR",G,44,1981-01-07,Cold Lake,AB,CAN,CAN,76,215,1999,FLA,2,12,40
27,Craig Anderson,COL,G,44,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,CHI,3,10,73
28,Ryan Miller,BUF,G,45,1980-07-17,East Lansing,MI,USA,USA,75,170,1999,BUF,5,12,138
29,Michael Leighton,"CAR, PHI",G,44,1981-05-19,Petrolia,ON,CAN,CAN,75,186,1999,CHI,6,8,165
30,Rick DiPietro,NYI,G,43,1981-09-19,Winthrop,MA,USA,USA,72,185,2000,NYI,1,1,1
31,Ilya Bryzgalov,PHX,G,45,1980-06-22,Togliatti,,RUS,RUS,75,213,2000,ANA,2,14,44
32,Dan Ellis,NSH,G,45,1980-06-19,Saskatoon,SK,CAN,CAN,73,195,2000,DAL,2,30,60
33,Henrik Lundqvist,NYR,G,43,1982-03-02,Are,,SWE,SWE,73,182,2000,NYR,7,8,205
34,Ty Conklin,STL,G,49,1976-03-30,Anchorage,AK,USA,USA,73,185,-,-,-,-,-
35,Pascal Leclaire,OTT,G,42,1982-11-07,Repentigny,QC,CAN,CAN,74,202,2001,CBJ,1,8,8
36,Peter Budaj,COL,G,42,1982-09-18,Banská Bystrica,,SVK,SVK,73,196,2001,COL,2,33,63
37,Ray Emery,PHI,G,42,1982-09-28,Hamilton,ON,CAN,CAN,74,196,2001,OTT,4,3,99
38,Mike Smith,T.B,G,43,1982-03-22,Kingston,ON,CAN,CAN,77,220,2001,DAL,5,30,161
39,Cristobal Huet,CHI,G,49,1975-09-03,St-Martin-d'Hères,,FRA,FRA,73,205,2001,L.A,7,18,214
40,Joey MacDonald,TOR,G,45,1980-02-07,Pictou,NS,CAN,CAN,72,197,-,-,-,-,-
41,Jeff Deslauriers,EDM,G,41,1984-05-15,St-Jean-Richelieu,QC,CAN,CAN,76,203,2002,EDM,2,1,31
