,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position,Last Season,playerStripped
0,Scott Foster,CHI,G,28,1993-01-01,-,-,-,-,-,-,-,-,-,-,-,2017-2018,scottfoster
1,David Ayres,CAR,G,28,1993-01-01,-,-,-,-,-,-,-,-,-,-,-,2019-2020,davidayres
2,Matthew Berlin,EDM,G,28,1993-01-01,-,-,-,-,-,-,-,-,-,-,-,2022-2023,mattberlin
3,Jett Alexander,TOR,G,28,1993-01-01,-,-,-,-,-,-,-,-,-,-,-,2022-2023,jettalex
4,Dominik Hasek,DET,G,60,1965-01-29,Pardubice,,CZE,CZE,73,166,1983,CHI,10,17,199,2007-2008,dominikhasek
5,Curtis Joseph,TOR,G,58,1967-04-29,Keswick,ON,CAN,CAN,71,193,-,-,-,-,-,2008-2009,curtisjoseph
6,Dwayne Roloson,T.B,G,55,1969-10-12,Simcoe,ON,CAN,CAN,73,170,-,-,-,-,-,2011-2012,dwayneroloson
7,Olie Kolzig,T.B,G,55,1970-04-06,Johannesburg,,ZAF,DEU,75,224,1989,WSH,1,19,19,2008-2009,oliekolzig
8,Martin Brodeur,STL,G,53,1972-05-06,Montreal,QC,CAN,CAN,74,220,1990,N.J,1,20,20,2014-2015,martinbrodeur
9,Chris Osgood,DET,G,52,1972-11-26,Peace River,AB,CAN,CAN,70,180,1991,DET,3,10,54,2010-2011,chrisosgood
10,Nikolai Khabibulin,CHI,G,52,1973-01-13,Sverdlovsk,,RUS,RUS,73,208,1992,WIN,9,12,204,2013-2014,nikolaikhabibulin
11,Manny Legace,CAR,G,52,1973-02-04,Toronto,ON,CAN,CAN,70,200,1993,HFD,8,6,188,2009-2010,mannylegace
12,Johan Hedberg,N.J,G,52,1973-05-05,Leksand,,SWE,SWE,72,190,1994,PHI,9,10,218,2012-2013,johanhedberg
13,Fredrik Norrena,CBJ,G,51,1973-11-29,Pietarsaari,,FIN,FIN,72,190,2002,T.B,7,16,213,2008-2009,fredriknorrena
14,Tim Thomas,"DAL, FLA",G,51,1974-04-15,Flint,MI,USA,USA,71,201,1994,QUE,9,9,217,2013-2014,timthomas
15,Patrick Lalime,BUF,G,51,1974-07-07,St. Bonaventure,QC,CAN,CAN,75,192,1993,PIT,6,26,156,2010-2011,patlalime
16,Manny Fernandez,BOS,G,50,1974-08-27,Etobicoke,ON,CAN,CAN,72,207,1992,QUE,3,4,52,2008-2009,mannyfernandez
17,Martin Gerber,EDM,G,50,1974-09-03,Burgdorf,,CHE,CHE,72,205,2001,ANA,8,5,232,2010-2011,martingerber
18,Jocelyn Thibault,BUF,G,50,1975-01-12,Montreal,QC,CAN,CAN,71,169,1993,QUE,1,10,10,2007-2008,jocelynthibault
19,Kevin Weekes,N.J,G,50,1975-04-04,Toronto,ON,CAN,CAN,74,215,1993,FLA,2,15,41,2008-2009,kevinweekes
20,Evgeni Nabokov,T.B,G,50,1975-07-25,Kamenogorsk,,KAZ,RUS,72,202,1994,S.J,9,11,219,2014-2015,evgeninabokov
21,Marty Turco,BOS,G,50,1975-08-13,Sault Ste. Marie,ON,CAN,CAN,71,184,1994,DAL,5,20,124,2011-2012,martyturco
22,John Grahame,CAR,G,49,1975-08-31,Denver,CO,USA,USA,75,220,1994,BOS,9,21,229,2007-2008,johngrahame
23,Cristobal Huet,CHI,G,49,1975-09-03,St-Martin-d'Hères,,FRA,FRA,73,205,2001,L.A,7,18,214,2009-2010,cristobalhuet
24,Ty Conklin,DET,G,49,1976-03-30,Anchorage,AK,USA,USA,73,185,-,-,-,-,-,2011-2012,tyconklin
25,Chris Mason,NSH,G,49,1976-04-20,Red Deer,AB,CAN,CAN,72,198,1995,N.J,5,18,122,2012-2013,chrismason
26,Dan Cloutier,L.A,G,49,1976-04-22,Mont-Laurier,QC,CAN,CAN,73,195,1994,NYR,1,26,26,2007-2008,dancloutier
27,Tomas Vokoun,PIT,G,49,1976-07-02,Karlovy Vary,,CZE,CZE,73,210,1994,MTL,9,18,226,2012-2013,tomasvokoun
28,Jose Theodore,FLA,G,48,1976-09-13,Laval,QC,CAN,CAN,71,172,1994,MTL,2,18,44,2012-2013,josetheodore
29,Miikka Kiprusoff,CGY,G,48,1976-10-26,Turku,,FIN,FIN,73,185,1995,S.J,5,12,116,2012-2013,miikkakiprusoff
30,Brian Boucher,PHI,G,48,1977-01-02,Woonsocket,RI,USA,USA,74,200,1995,PHI,1,22,22,2012-2013,brianboucher
31,Brent Johnson,PIT,G,48,1977-03-12,Farmington,MI,USA,USA,75,199,1995,COL,5,25,129,2011-2012,brentjohnson
32,Jean-Sebastien Giguere,COL,G,48,1977-05-16,Montreal,QC,CAN,CAN,73,202,1995,HFD,1,13,13,2013-2014,jeansebastiengiguere
33,Vesa Toskala,"CGY, TOR",G,48,1977-05-20,Tampere,,FIN,FIN,70,198,1995,S.J,4,12,90,2009-2010,vesatoskala
34,Jean-Sebastien Aubin,L.A,G,48,1977-07-19,Montreal,QC,CAN,CAN,71,180,1995,PIT,3,24,76,2007-2008,jeansebastienaubin
35,Scott Clemmensen,N.J,G,48,1977-07-23,Des Moines,IA,USA,USA,74,200,1997,N.J,8,25,215,2014-2015,scottclemmensen
36,Marc Denis,MTL,G,48,1977-08-01,Montreal,QC,CAN,CAN,73,193,1995,COL,1,25,25,2008-2009,marcdenis
37,Martin Biron,NYR,G,47,1977-08-15,Lac St. Charles,QC,CAN,CAN,74,186,1995,BUF,1,16,16,2013-2014,martinbiron
38,Steve Valiquette,NYR,G,47,1977-08-20,Etobicoke,ON,CAN,CAN,78,210,1996,L.A,8,1,190,2009-2010,stevevaliquette
39,Mathieu Garon,T.B,G,47,1978-01-09,Chandler,QC,CAN,CAN,73,198,1996,MTL,2,18,44,2012-2013,mathieugaron
40,David Aebischer,PHX,G,47,1978-02-07,Fribourg,,CHE,CHE,73,187,1997,COL,6,27,161,2007-2008,davidaebischer
41,Niklas Backstrom,CGY,G,47,1978-02-13,Helsinki,,FIN,FIN,74,192,-,-,-,-,-,2015-2016,niklasbackstrom
42,Johan Holmqvist,"DAL, T.B",G,47,1978-05-24,Tolfta,,SWE,SWE,75,198,1997,NYR,7,14,175,2007-2008,johanholmqvist
43,Wade Dubielewicz,MIN,G,46,1979-01-30,Invermere,BC,CAN,CAN,70,185,-,-,-,-,-,2009-2010,wadedubielewicz
44,Jorge Alves,CAR,G,46,1979-01-30,Boston,MA,USA,USA,69,188,-,-,-,-,-,2016-2017,jorgealves
45,Roberto Luongo,FLA,G,46,1979-04-04,Montreal,QC,CAN,CAN,75,215,1997,NYI,1,4,4,2018-2019,robertoluongo
46,Mikael Tellqvist,"BUF, PHX",G,45,1979-09-19,Sundbyberg,,SWE,SWE,72,189,2000,TOR,3,5,70,2008-2009,mikaeltellqvist
47,Curtis Sanford,CBJ,G,45,1979-10-05,Owen sound,ON,CAN,CAN,71,187,-,-,-,-,-,2011-2012,curtissanford
48,Jason LaBarbera,ANA,G,45,1980-01-18,Burnaby,BC,CAN,CAN,75,232,1998,NYR,3,8,66,2014-2015,jasonlabarbera
49,Joey MacDonald,CGY,G,45,1980-02-07,Pictou,NS,CAN,CAN,72,197,-,-,-,-,-,2013-2014,joeymacdonald
50,Andrew Raycroft,DAL,G,45,1980-05-04,Belleville,ON,CAN,CAN,73,180,1998,BOS,5,21,135,2011-2012,andrewraycroft
51,Antero Niittymaki,S.J,G,45,1980-06-18,Turku,,FIN,FIN,73,195,1998,PHI,6,23,168,2010-2011,anteroniittymaki
52,Dan Ellis,FLA,G,45,1980-06-19,Saskatoon,SK,CAN,CAN,73,195,2000,DAL,2,30,60,2014-2015,danellis
53,Ilya Bryzgalov,ANA,G,45,1980-06-22,Togliatti,,RUS,RUS,75,213,2000,ANA,2,14,44,2014-2015,ilyabryzgalov
54,Sebastien Caron,T.B,G,45,1980-06-25,Amqui,QC,CAN,CAN,73,170,1999,PIT,3,20,86,2011-2012,sebastiencaron
55,Ryan Miller,ANA,G,45,1980-07-17,East Lansing,MI,USA,USA,75,170,1999,BUF,5,12,138,2020-2021,ryanmiller
56,Dany Sabourin,PIT,G,44,1980-09-02,Val D'or,QC,CAN,CAN,76,204,1998,CGY,4,22,108,2008-2009,danysabourin
57,Alex Auld,OTT,G,44,1981-01-07,Cold Lake,AB,CAN,CAN,76,215,1999,FLA,2,12,40,2011-2012,alexauld
58,Michael Leighton,CAR,G,44,1981-05-19,Petrolia,ON,CAN,CAN,75,186,1999,CHI,6,8,165,2016-2017,michaelleighton
59,Craig Anderson,BUF,G,44,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,CHI,3,10,73,2022-2023,craiganderson
60,Yann Danis,N.J,G,44,1981-06-21,Lafontaine,QC,CAN,CAN,71,180,-,-,-,-,-,2015-2016,yanndanis
61,Johan Backlund,PHI,G,44,1981-07-24,Skellefteå,,SWE,SWE,74,198,-,-,-,-,-,2009-2010,johanbacklund
62,Rob Zepp,PHI,G,43,1981-09-07,Scarborough,ON,CAN,CAN,74,198,2001,CAR,4,14,110,2014-2015,robzepp
63,Rick DiPietro,NYI,G,43,1981-09-19,Winthrop,MA,USA,USA,72,185,2000,NYI,1,1,1,2012-2013,rickdipietro
64,Jonas Hiller,CGY,G,43,1982-02-12,Felben Wellhausen,,CHE,CHE,74,191,-,-,-,-,-,2015-2016,jonashiller
65,Henrik Lundqvist,NYR,G,43,1982-03-02,Are,,SWE,SWE,73,182,2000,NYR,7,8,205,2019-2020,henriklundqvist
66,Erik Ersberg,L.A,G,43,1982-03-08,Sala,,SWE,SWE,72,165,-,-,-,-,-,2009-2010,erikersberg
67,Mike Smith,EDM,G,43,1982-03-22,Kingston,ON,CAN,CAN,77,220,2001,DAL,5,30,161,2021-2022,michaelsmith
68,Brent Krahn,DAL,G,43,1982-04-02,Winnipeg,MB,CAN,CAN,76,232,2000,CGY,1,9,9,2008-2009,brentkrahn
69,Viktor Fasth,EDM,G,43,1982-08-08,Kalix,,SWE,SWE,72,181,-,-,-,-,-,2014-2015,viktorfasth
70,Peter Budaj,L.A,G,42,1982-09-18,Banská Bystrica,,SVK,SVK,73,196,2001,COL,2,33,63,2018-2019,peterbudaj
71,Ray Emery,PHI,G,42,1982-09-28,Hamilton,ON,CAN,CAN,74,196,2001,OTT,4,3,99,2014-2015,rayemery
72,Pekka Rinne,NSH,G,42,1982-11-03,Kempele,,FIN,FIN,77,217,2004,NSH,8,31,258,2020-2021,pekkarinne
73,Pascal Leclaire,OTT,G,42,1982-11-07,Repentigny,QC,CAN,CAN,74,202,2001,CBJ,1,8,8,2010-2011,pascalleclaire
74,Dimitri Patzold,S.J,G,42,1983-02-03,Kamenogorsk,,KAZ,DEU,72,195,2001,S.J,4,11,107,2007-2008,dimitripatzold
75,Matt Climie,PHX,G,42,1983-02-11,Leduc,AB,CAN,CAN,75,194,-,-,-,-,-,2010-2011,mattclimie
76,Mike Brodeur,OTT,G,42,1983-03-30,Calgary,AB,CAN,CAN,74,185,2003,CHI,7,14,211,2010-2011,michaelbrodeur
77,Mike McKenna,"OTT, PHI",G,42,1983-04-11,St. Louis,MO,USA,USA,74,183,2002,NSH,6,6,172,2018-2019,michaelmckenna
78,David Leneveu,CBJ,G,42,1983-05-23,Fernie,BC,CAN,CAN,73,190,2002,PHX,2,16,46,2010-2011,davidleneveu
79,Curtis McElhinney,T.B,G,42,1983-05-23,London,ON,CAN,CAN,74,210,2002,CGY,6,10,176,2020-2021,curtismcelhinney
80,Drew MacIntyre,TOR,G,42,1983-06-24,Charlottetown,PE,CAN,CAN,73,188,2001,DET,4,25,121,2013-2014,drewmacintyre
81,Matt Zaba,NYR,G,42,1983-07-14,Yorkton,SK,CAN,CAN,73,190,2003,L.A,8,2,231,2009-2010,mattzaba
82,Antti Niemi,MTL,G,41,1983-08-29,Vantaa,,FIN,FIN,74,209,-,-,-,-,-,2018-2019,anttiniemi
83,Nathan Lawson,OTT,G,41,1983-09-29,Calgary,AB,CAN,CAN,74,198,-,-,-,-,-,2013-2014,nathanlawson
84,Kari Lehtonen,DAL,G,41,1983-11-16,Helsinki,,FIN,FIN,76,209,2002,ATL,1,2,2,2017-2018,karilehtonen
85,Henrik Karlsson,CGY,G,41,1983-11-27,Tumba,,SWE,SWE,78,209,-,-,-,-,-,2011-2012,henrikkarlsson
86,Tobias Stephan,DAL,G,41,1984-01-21,Zürich,,CHE,CHE,74,180,2002,DAL,2,4,34,2008-2009,tobiasstephan
87,Cristopher Nilstorp,DAL,G,41,1984-02-16,Malmö,,SWE,SWE,75,190,-,-,-,-,-,2013-2014,cristophernilstorp
88,Peter Mannino,WPG,G,41,1984-02-17,Farmington Hills,MI,USA,USA,73,195,-,-,-,-,-,2011-2012,petermannino
89,John Curry,MIN,G,41,1984-02-27,Shorewood,MN,USA,USA,71,185,-,-,-,-,-,2014-2015,johncurry
90,Cam Ward,CHI,G,41,1984-02-29,Saskatoon,SK,CAN,CAN,73,194,2002,CAR,1,25,25,2018-2019,camward
91,Jimmy Howard,DET,G,41,1984-03-26,Syracuse,NY,USA,USA,73,218,2003,DET,2,34,64,2019-2020,jimmyhoward
92,Jeff Deslauriers,ANA,G,41,1984-05-15,St-Jean-Richelieu,QC,CAN,CAN,76,203,2002,EDM,2,1,31,2011-2012,jeffdeslauriers
93,Hannu Toivonen,STL,G,41,1984-05-18,Kalvola,,FIN,FIN,74,200,2002,BOS,1,29,29,2007-2008,hannutoivonen
94,Tyler Weiman,COL,G,41,1984-06-05,Saskatoon,SK,CAN,CAN,71,180,2002,COL,5,33,164,2007-2008,tylerweiman
95,Josh Harding,MIN,G,41,1984-06-18,Regina,SK,CAN,CAN,74,194,2002,MIN,2,8,38,2013-2014,joshharding
96,Chris Beckford-Tseu,STL,G,41,1984-06-22,Toronto,ON,CAN,CAN,75,201,2003,STL,5,23,159,2007-2008,chrisbeckfordtseu
97,Jonas Gustavsson,EDM,G,40,1984-10-24,Danderyd,,SWE,SWE,76,201,-,-,-,-,-,2016-2017,jonasgustavsson
98,Marc-Andre Fleury,MIN,G,40,1984-11-28,Sorel,QC,CAN,CAN,74,185,2003,PIT,1,1,1,2024-2025,marcandrefleury
99,Corey Crawford,CHI,G,40,1984-12-31,Montreal,QC,CAN,CAN,74,216,2003,CHI,2,22,52,2019-2020,coreycrawford
100,Josh Tordjman,PHX,G,40,1985-01-11,Montreal,QC,CAN,CAN,73,156,-,-,-,-,-,2008-2009,joshtordjman
101,Al Montoya,"EDM, MTL",G,40,1985-02-13,Chicago,IL,USA,USA,74,200,2004,NYR,1,6,6,2017-2018,almontoya
102,Brian Elliott,T.B,G,40,1985-04-09,Newmarket,ON,CAN,CAN,74,221,2003,OTT,9,30,291,2022-2023,brianelliott
103,Jaroslav Halak,NYR,G,40,1985-05-13,Bratislava,,SVK,SVK,71,189,2003,MTL,9,10,271,2022-2023,jaroslavhalak
104,Chris Holt,STL,G,40,1985-06-05,Vancouver,BC,CAN,CAN,75,229,2003,NYR,6,13,180,2008-2009,chrisholt
105,Iiro Tarkki,ANA,G,40,1985-07-01,Rauma,,FIN,FIN,74,190,-,-,-,-,-,2011-2012,iirotarkki
106,Cedrick Desjardins,T.B,G,39,1985-09-30,Edmundston,NB,CAN,CAN,72,188,-,-,-,-,-,2013-2014,cedrickdesjardins
107,Jeff Glass,CHI,G,39,1985-11-19,Calgary,,CAN,CAN,75,206,2004,OTT,3,24,89,2017-2018,jeffglass
108,Carter Hutton,ARI,G,39,1985-12-19,Thunder Bay,ON,CAN,CAN,72,211,-,-,-,-,-,2021-2022,carterhutton
109,Jonathan Quick,NYR,G,39,1986-01-21,Milford,CT,USA,USA,73,220,2005,L.A,3,11,72,2025-2026,jonathanquick
110,Thomas Greiss,STL,G,39,1986-01-29,Fussen,,DEU,DEU,74,219,2004,S.J,3,29,94,2022-2023,thomasgreiss
111,Cory Schneider,NYI,G,39,1986-03-18,Marblehead,MA,USA,USA,75,214,2004,VAN,1,26,26,2021-2022,coryschneider
112,Brad Thiessen,PIT,G,39,1986-03-19,Aldergrove,BC,CAN,CAN,72,180,-,-,-,-,-,2011-2012,bradthiessen
113,Daniel Lacosta,CBJ,G,39,1986-03-28,Labrador City,NL,CAN,CAN,73,186,2004,CBJ,3,28,93,2008-2009,dannylacosta
