,Player,Position,EspnId,EspnHeadshot
0,Nathan MacKinnon,C,3041969,https://a.espncdn.com/i/headshots/nhl/players/full/3041969.png
1,Leon Draisaitl,C,3114727,https://a.espncdn.com/i/headshots/nhl/players/full/3114727.png
2,Nikita Kucherov,RW,2563060,https://a.espncdn.com/i/headshots/nhl/players/full/2563060.png
3,Mitch Marner,RW,3899937,https://a.espncdn.com/i/headshots/nhl/players/full/3899937.png
4,Connor McDavid,C,3895074,https://a.espncdn.com/i/headshots/nhl/players/full/3895074.png
5,Kyle Connor,LW,3899952,https://a.espncdn.com/i/headshots/nhl/players/full/3899952.png
6,Mikko Rantanen,RW,3899938,https://a.espncdn.com/i/headshots/nhl/players/full/3899938.png
7,David Pastrnak,RW,3114778,https://a.espncdn.com/i/headshots/nhl/players/full/3114778.png
8,Jack Eichel,C,3648002,https://a.espncdn.com/i/headshots/nhl/players/full/3648002.png
9,Mark Scheifele,C,2562632,https://a.espncdn.com/i/headshots/nhl/players/full/2562632.png
10,Martin Necas,C,4233586,https://a.espncdn.com/i/headshots/nhl/players/full/4233586.png
11,Jack Hughes,C,4565222,https://a.espncdn.com/i/headshots/nhl/players/full/4565222.png
12,Quinn Hughes,D,4320548,https://a.espncdn.com/i/headshots/nhl/players/full/4320548.png
13,Jesper Bratt,LW,4268771,https://a.espncdn.com/i/headshots/nhl/players/full/4268771.png
14,Travis Konecny,RW,3900169,https://a.espncdn.com/i/headshots/nhl/players/full/3900169.png
15,Sidney Crosby,C,3114,https://a.espncdn.com/i/headshots/nhl/players/full/3114.png
16,Sam Reinhart,C,3114722,https://a.espncdn.com/i/headshots/nhl/players/full/3114722.png
17,Zach Werenski,D,3899972,https://a.espncdn.com/i/headshots/nhl/players/full/3899972.png
18,Cale Makar,D,4233563,https://a.espncdn.com/i/headshots/nhl/players/full/4233563.png
19,Clayton Keller,RW,4024857,https://a.espncdn.com/i/headshots/nhl/players/full/4024857.png
20,Lucas Raymond,LW,4697385,https://a.espncdn.com/i/headshots/nhl/players/full/4697385.png
21,Kirill Marchenko,RW,4587996,https://a.espncdn.com/i/headshots/nhl/players/full/4587996.png
22,Brandon Hagel,LW,4065019,https://a.espncdn.com/i/headshots/nhl/players/full/4065019.png
23,Brayden Point,C,3151187,https://a.espncdn.com/i/headshots/nhl/players/full/3151187.png
24,Artemi Panarin,LW,3891952,https://a.espncdn.com/i/headshots/nhl/players/full/3891952.png
25,William Nylander,RW,3114736,https://a.espncdn.com/i/headshots/nhl/players/full/3114736.png
26,Kirill Kaprizov,LW,3942335,https://a.espncdn.com/i/headshots/nhl/players/full/3942335.png
27,Tim Stutzle,C,4697384,https://a.espncdn.com/i/headshots/nhl/players/full/4697384.png
28,Jake Guentzel,C,3042083,https://a.espncdn.com/i/headshots/nhl/players/full/3042083.png
29,Sebastian Aho,C,3904173,https://a.espncdn.com/i/headshots/nhl/players/full/3904173.png
30,Nick Suzuki,C,4233594,https://a.espncdn.com/i/headshots/nhl/players/full/4233594.png
31,Dylan Strome,C,3899933,https://a.espncdn.com/i/headshots/nhl/players/full/3899933.png
32,Matt Duchene,C,5161,https://a.espncdn.com/i/headshots/nhl/players/full/5161.png
33,Filip Forsberg,LW,2968772,https://a.espncdn.com/i/headshots/nhl/players/full/2968772.png
34,Dylan Larkin,C,3114755,https://a.espncdn.com/i/headshots/nhl/players/full/3114755.png
35,Gabriel Vilardi,C,4233583,https://a.espncdn.com/i/headshots/nhl/players/full/4233583.png
36,Jason Robertson,LW,4233875,https://a.espncdn.com/i/headshots/nhl/players/full/4233875.png
37,Matthew Tkachuk,LW,4024854,https://a.espncdn.com/i/headshots/nhl/players/full/4024854.png
38,Nikolaj Ehlers,LW,3114741,https://a.espncdn.com/i/headshots/nhl/players/full/3114741.png
39,Cole Caufield,RW,4565236,https://a.espncdn.com/i/headshots/nhl/players/full/4565236.png
40,Marco Rossi,C,4697391,https://a.espncdn.com/i/headshots/nhl/players/full/4697391.png
41,Mark Stone,RW,5545,https://a.espncdn.com/i/headshots/nhl/players/full/5545.png
42,Josh Morrissey,D,3042016,https://a.espncdn.com/i/headshots/nhl/players/full/3042016.png
43,Mikael Granlund,C,5831,https://a.espncdn.com/i/headshots/nhl/players/full/5831.png
44,Rickard Rakell,RW,2562629,https://a.espncdn.com/i/headshots/nhl/players/full/2562629.png
45,Tage Thompson,C,4024988,https://a.espncdn.com/i/headshots/nhl/players/full/4024988.png
46,Matt Boldy,LW,4565233,https://a.espncdn.com/i/headshots/nhl/players/full/4565233.png
47,Connor Bedard,C,5149125,https://a.espncdn.com/i/headshots/nhl/players/full/5149125.png
48,Aleksander Barkov,C,3041970,https://a.espncdn.com/i/headshots/nhl/players/full/3041970.png
49,Shea Theodore,D,3042055,https://a.espncdn.com/i/headshots/nhl/players/full/3042055.png
50,Adrian Kempe,RW,3114802,https://a.espncdn.com/i/headshots/nhl/players/full/3114802.png
51,Anze Kopitar,C,3183,https://a.espncdn.com/i/headshots/nhl/players/full/3183.png
52,John Tavares,C,5160,https://a.espncdn.com/i/headshots/nhl/players/full/5160.png
53,Nico Hischier,C,4233555,https://a.espncdn.com/i/headshots/nhl/players/full/4233555.png
54,Drake Batherson,RW,4271734,https://a.espncdn.com/i/headshots/nhl/players/full/4271734.png
55,Aliaksei Protas,C,4587943,https://a.espncdn.com/i/headshots/nhl/players/full/4587943.png
56,Wyatt Johnston,C,4874740,https://a.espncdn.com/i/headshots/nhl/players/full/4874740.png
57,Logan Cooley,C,5080143,https://a.espncdn.com/i/headshots/nhl/players/full/5080143.png
58,Brad Marchand,LW,3852,https://a.espncdn.com/i/headshots/nhl/players/full/3852.png
59,Pierre-Luc Dubois,C,4024833,https://a.espncdn.com/i/headshots/nhl/players/full/4024833.png
60,Jordan Kyrou,C,4062251,https://a.espncdn.com/i/headshots/nhl/players/full/4062251.png
61,Tomas Hertl,C,2976844,https://a.espncdn.com/i/headshots/nhl/players/full/2976844.png
62,Sean Monahan,C,3041996,https://a.espncdn.com/i/headshots/nhl/players/full/3041996.png
63,Nick Schmaltz,C,3114770,https://a.espncdn.com/i/headshots/nhl/players/full/3114770.png
64,Brady Tkachuk,LW,4319858,https://a.espncdn.com/i/headshots/nhl/players/full/4319858.png
65,Evan Bouchard,D,4352722,https://a.espncdn.com/i/headshots/nhl/players/full/4352722.png
66,Seth Jarvis,C,4697396,https://a.espncdn.com/i/headshots/nhl/players/full/4697396.png
67,JJ Peterka,RW,4697438,https://a.espncdn.com/i/headshots/nhl/players/full/4697438.png
68,Victor Hedman,D,5157,https://a.espncdn.com/i/headshots/nhl/players/full/5157.png
69,Bryan Rust,RW,2591155,https://a.espncdn.com/i/headshots/nhl/players/full/2591155.png
70,Jared McCann,LW,3114777,https://a.espncdn.com/i/headshots/nhl/players/full/3114777.png
71,Auston Matthews,C,4024123,https://a.espncdn.com/i/headshots/nhl/players/full/4024123.png
72,Alex DeBrincat,RW,4063433,https://a.espncdn.com/i/headshots/nhl/players/full/4063433.png
73,Adam Fox,D,4197146,https://a.espncdn.com/i/headshots/nhl/players/full/4197146.png
74,Anders Lee,LW,5793,https://a.espncdn.com/i/headshots/nhl/players/full/5793.png
75,Bo Horvat,C,3042002,https://a.espncdn.com/i/headshots/nhl/players/full/3042002.png
76,Anthony Cirelli,C,3941973,https://a.espncdn.com/i/headshots/nhl/players/full/3941973.png
77,Troy Terry,RW,3942905,https://a.espncdn.com/i/headshots/nhl/players/full/3942905.png
78,Connor McMichael,C,4565246,https://a.espncdn.com/i/headshots/nhl/players/full/4565246.png
79,Lane Hutson,D,5080230,https://a.espncdn.com/i/headshots/nhl/players/full/5080230.png
80,Dylan Holloway,LW,4697397,https://a.espncdn.com/i/headshots/nhl/players/full/4697397.png
81,Alex Ovechkin,LW,3101,https://a.espncdn.com/i/headshots/nhl/players/full/3101.png
82,Jonathan Marchessault,RW,2967072,https://a.espncdn.com/i/headshots/nhl/players/full/2967072.png
83,Tom Wilson,RW,2970615,https://a.espncdn.com/i/headshots/nhl/players/full/2970615.png
84,Chandler Stephenson,C,3067858,https://a.espncdn.com/i/headshots/nhl/players/full/3067858.png
85,J.T. Miller,C,2590852,https://a.espncdn.com/i/headshots/nhl/players/full/2590852.png
86,Jason Zucker,LW,2593315,https://a.espncdn.com/i/headshots/nhl/players/full/2593315.png
87,Carter Verhaeghe,C,3042088,https://a.espncdn.com/i/headshots/nhl/players/full/3042088.png
88,Timo Meier,RW,3899978,https://a.espncdn.com/i/headshots/nhl/players/full/3899978.png
89,Rasmus Dahlin,D,4294163,https://a.espncdn.com/i/headshots/nhl/players/full/4294163.png
90,Andrei Svechnikov,RW,4352683,https://a.espncdn.com/i/headshots/nhl/players/full/4352683.png
91,William Eklund,LW,4874721,https://a.espncdn.com/i/headshots/nhl/players/full/4874721.png
92,Macklin Celebrini,C,5206628,https://a.espncdn.com/i/headshots/nhl/players/full/5206628.png
93,Mats Zuccarello,RW,5560,https://a.espncdn.com/i/headshots/nhl/players/full/5560.png
94,Jonathan Huberdeau,C,2562606,https://a.espncdn.com/i/headshots/nhl/players/full/2562606.png
95,Alex Tuch,RW,3114766,https://a.espncdn.com/i/headshots/nhl/players/full/3114766.png
96,Robert Thomas,C,4233637,https://a.espncdn.com/i/headshots/nhl/players/full/4233637.png
97,Claude Giroux,RW,3775,https://a.espncdn.com/i/headshots/nhl/players/full/3775.png
98,Erik Karlsson,D,5164,https://a.espncdn.com/i/headshots/nhl/players/full/5164.png
99,Nazem Kadri,C,5349,https://a.espncdn.com/i/headshots/nhl/players/full/5349.png
100,Roman Josi,D,5436,https://a.espncdn.com/i/headshots/nhl/players/full/5436.png
101,Jaden Schwartz,C,5835,https://a.espncdn.com/i/headshots/nhl/players/full/5835.png
102,Roope Hintz,C,3904183,https://a.espncdn.com/i/headshots/nhl/players/full/3904183.png
103,Neal Pionk,D,3988847,https://a.espncdn.com/i/headshots/nhl/players/full/3988847.png
104,Evgeni Malkin,C,3124,https://a.espncdn.com/i/headshots/nhl/players/full/3124.png
105,Kyle Palmieri,C,5517,https://a.espncdn.com/i/headshots/nhl/players/full/5517.png
106,Dougie Hamilton,D,2562605,https://a.espncdn.com/i/headshots/nhl/players/full/2562605.png
107,Teuvo Teravainen,C,2592095,https://a.espncdn.com/i/headshots/nhl/players/full/2592095.png
108,Oliver Bjorkstrand,RW,3042095,https://a.espncdn.com/i/headshots/nhl/players/full/3042095.png
109,Conor Garland,RW,3939718,https://a.espncdn.com/i/headshots/nhl/players/full/3939718.png
110,Pavel Dorofeyev,LW,4587588,https://a.espncdn.com/i/headshots/nhl/players/full/4587588.png
111,Anton Lundell,C,4697395,https://a.espncdn.com/i/headshots/nhl/players/full/4697395.png
112,Dylan Guenther,RW,4874723,https://a.espncdn.com/i/headshots/nhl/players/full/4874723.png
113,Matvei Michkov,RW,5149170,https://a.espncdn.com/i/headshots/nhl/players/full/5149170.png
