,PlayerID,Player,Team,Position,Headshot,Team Logo,Jersey Number,playerStripped,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position,Last Season,playerStrippedEspn,EspnHeadshot
0,8480058.0,P.O Joseph,PIT,D,https://assets.nhle.com/mugs/nhl/20242025/PIT/8480058.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,73.0,pojoseph,,,,,,,,,,,,,,2024-2025,pojoseph,https://a.espncdn.com/i/headshots/nhl/players/full/4233653.png
1,8479944.0,Zachary Aston-Reese,CBJ,C,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8479944.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,27.0,zacharyastonreese,,,,,,,,,,,,,,2025-2026,zacharyastonreese,https://a.espncdn.com/i/headshots/nhl/players/full/3988830.png
2,8446053.0,Chris Chelios,ATL,D,https://assets.nhle.com/mugs/nhl/20092010/ATL/8446053.png,https://assets.nhle.com/logos/nhl/svg/ATL_19992000-20102011_light.svg,24.0,chrischelios,63.0,1962-01-25,Chicago,IL,USA,USA,72.0,191.0,1981,MTL,2,19,40,2009-2010,chrischelios,
3,8448772.0,Claude Lemieux,SJS,R,https://assets.nhle.com/mugs/nhl/20082009/SJS/8448772.png,https://assets.nhle.com/logos/nhl/svg/SJS_20082009-20232024_light.svg,32.0,claudelemieux,60.0,1965-07-16,Buckingham,QC,CAN,CAN,73.0,215.0,1983,MTL,2,5,26,2008-2009,claudelemieux,
4,8450900.0,Gary Roberts,TBL,L,https://assets.nhle.com/mugs/nhl/20082009/TBL/8450900.png,https://assets.nhle.com/logos/nhl/svg/TBL_20072008-20102011_light.svg,10.0,garyroberts,59.0,1966-05-23,North York,ON,CAN,CAN,74.0,215.0,1984,CGY,1,12,12,2008-2009,garyroberts,
5,8450725.0,Mark Recchi,BOS,R,https://assets.nhle.com/mugs/nhl/20102011/BOS/8450725.png,https://assets.nhle.com/logos/nhl/svg/BOS_20082009-20222023_light.svg,28.0,markrecchi,57.0,1968-02-01,Kamloops,BC,CAN,CAN,70.0,195.0,1988,PIT,4,4,67,2010-2011,markrecchi,
6,8449924.0,Teppo Numminen,BUF,D,https://assets.nhle.com/mugs/nhl/20082009/BUF/8449924.png,https://assets.nhle.com/logos/nhl/svg/BUF_20062007-20092010_light.svg,27.0,tepponumminen,57.0,1968-07-03,Tampere,,FIN,FIN,74.0,198.0,1986,WIN,2,8,29,2008-2009,tepponumminen,
7,8452371.0,Glen Wesley,CAR,D,https://assets.nhle.com/mugs/nhl/20072008/CAR/8452371.png,https://assets.nhle.com/logos/nhl/svg/CAR_19992000-20122013_light.svg,2.0,glenwesley,56.0,1968-10-02,Red Deer,AB,CAN,CAN,73.0,207.0,1987,BOS,1,3,3,2007-2008,glenwesley,
8,8456100.0,Jim Dowd,PHI,C,https://assets.nhle.com/mugs/nhl/20072008/PHI/8456100.png,https://assets.nhle.com/logos/nhl/svg/PHI_19992000-20222023_light.svg,34.0,jimdowd,56.0,1968-12-25,Brick,NJ,USA,USA,72.0,180.0,1987,N.J,8,2,149,2007-2008,jimdowd,
9,8451302.0,Brendan Shanahan,NJD,L,https://assets.nhle.com/mugs/nhl/20082009/NJD/8451302.png,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,14.0,brendanshanahan,56.0,1969-01-23,Mimico,ON,CAN,CAN,75.0,220.0,1987,N.J,1,2,2,2008-2009,brendanshanahan,
