,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points
1,8476453.0,Nikita Kucherov,R,TBL,30,81.0,44.0,100.0,144.0
2,8477492.0,Nathan MacKinnon,C,COL,28,82.0,51.0,89.0,140.0
3,8478402.0,Connor McDavid,C,EDM,26,76.0,32.0,100.0,132.0
4,8478550.0,Artemi Panarin,L,NYR,32,82.0,49.0,71.0,120.0
5,8477956.0,David Pastrnak,R,BOS,27,82.0,47.0,63.0,110.0
6,8479318.0,Auston Matthews,C,TOR,26,81.0,69.0,38.0,107.0
7,8477934.0,Leon Draisaitl,C,EDM,28,81.0,41.0,65.0,106.0
8,8478420.0,Mikko Rantanen,R,COL,27,80.0,42.0,62.0,104.0
9,8476468.0,J.T. Miller,C,VAN,30,81.0,37.0,66.0,103.0
10,8477939.0,William Nylander,R,TOR,27,82.0,40.0,58.0,98.0
11,8478864.0,Kirill Kaprizov,L,MIN,26,75.0,46.0,50.0,96.0
12,8477933.0,Sam Reinhart,C,FLA,28,82.0,57.0,37.0,94.0
13,8476887.0,Filip Forsberg,L,NSH,29,82.0,48.0,46.0,94.0
14,8471675.0,Sidney Crosby,C,PIT,36,82.0,42.0,52.0,94.0
15,8480800.0,Quinn Hughes,D,VAN,24,82.0,17.0,75.0,92.0
16,8478010.0,Brayden Point,C,TBL,27,81.0,46.0,44.0,90.0
17,8480069.0,Cale Makar,D,COL,25,77.0,21.0,69.0,90.0
18,8478427.0,Sebastian Aho,C,CAR,26,78.0,36.0,53.0,89.0
19,8480012.0,Elias Pettersson,C,VAN,25,82.0,34.0,55.0,89.0
20,8479314.0,Matthew Tkachuk,L,FLA,26,80.0,26.0,62.0,88.0
21,8480023.0,Robert Thomas,C,STL,24,82.0,26.0,60.0,86.0
22,8474600.0,Roman Josi,D,NSH,33,82.0,23.0,62.0,85.0
23,8479407.0,Jesper Bratt,L,NJD,25,82.0,27.0,56.0,83.0
24,8480803.0,Evan Bouchard,D,EDM,24,81.0,18.0,64.0,82.0
25,8474564.0,Steven Stamkos,C,TBL,33,79.0,40.0,41.0,81.0
26,8480027.0,Jason Robertson,L,DAL,24,82.0,29.0,51.0,80.0
27,8477493.0,Aleksander Barkov,C,FLA,28,73.0,23.0,57.0,80.0
28,8478445.0,Mathew Barzal,C,NYI,26,80.0,23.0,57.0,80.0
29,8475786.0,Zach Hyman,L,EDM,31,80.0,54.0,23.0,77.0
30,8480018.0,Nick Suzuki,C,MTL,24,82.0,33.0,44.0,77.0
31,8477404.0,Jake Guentzel,L,PIT,29,67.0,30.0,47.0,77.0
32,8476389.0,Vincent Trocheck,C,NYR,30,82.0,25.0,52.0,77.0
33,8479343.0,Clayton Keller,R,ARI,25,78.0,33.0,43.0,76.0
34,8475167.0,Victor Hedman,D,TBL,33,78.0,13.0,63.0,76.0
35,8475184.0,Chris Kreider,L,NYR,32,82.0,39.0,36.0,75.0
36,8475172.0,Nazem Kadri,C,CGY,33,82.0,29.0,46.0,75.0
37,8477960.0,Adrian Kempe,R,LAK,27,77.0,28.0,47.0,75.0
38,8479542.0,Brandon Hagel,L,TBL,25,82.0,26.0,49.0,75.0
39,8474679.0,Gustav Nyquist,C,NSH,34,81.0,23.0,52.0,75.0
40,8480801.0,Brady Tkachuk,L,OTT,24,81.0,37.0,37.0,74.0
41,8481559.0,Jack Hughes,C,NJD,22,62.0,27.0,47.0,74.0
42,8478444.0,Brock Boeser,R,VAN,26,81.0,40.0,33.0,73.0
43,8477942.0,Kevin Fiala,L,LAK,27,82.0,29.0,44.0,73.0
44,8479323.0,Adam Fox,D,NYR,25,72.0,17.0,56.0,73.0
45,8477409.0,Carter Verhaeghe,C,FLA,28,76.0,34.0,38.0,72.0
46,8482078.0,Lucas Raymond,L,DET,21,82.0,31.0,41.0,72.0
47,8476459.0,Mika Zibanejad,C,NYR,30,81.0,26.0,46.0,72.0
48,8476460.0,Mark Scheifele,C,WPG,30,74.0,25.0,47.0,72.0
49,8471685.0,Anze Kopitar,C,LAK,36,81.0,26.0,44.0,70.0
50,8482116.0,Tim Stützle,C,OTT,21,75.0,18.0,52.0,70.0
51,8480865.0,Noah Dobson,D,NYI,23,79.0,10.0,60.0,70.0
52,8476539.0,Jonathan Marchessault,R,VGK,33,82.0,42.0,27.0,69.0
53,8475754.0,Brock Nelson,C,NYI,32,82.0,34.0,35.0,69.0
54,8477946.0,Dylan Larkin,C,DET,27,68.0,33.0,36.0,69.0
55,8475158.0,Ryan O'Reilly,C,NSH,32,82.0,26.0,43.0,69.0
56,8477504.0,Josh Morrissey,D,WPG,28,81.0,10.0,59.0,69.0
57,8477500.0,Bo Horvat,C,NYI,28,81.0,33.0,35.0,68.0
58,8478439.0,Travis Konecny,R,PHI,26,76.0,33.0,35.0,68.0
59,8478403.0,Jack Eichel,C,VGK,27,63.0,31.0,37.0,68.0
60,8481557.0,Matt Boldy,L,MIN,22,75.0,29.0,39.0,68.0
61,8482093.0,Seth Jarvis,C,CAR,21,81.0,33.0,34.0,67.0
62,8479385.0,Jordan Kyrou,C,STL,25,82.0,31.0,36.0,67.0
63,8473419.0,Brad Marchand,L,BOS,35,82.0,29.0,38.0,67.0
64,8470794.0,Joe Pavelski,C,DAL,39,82.0,27.0,40.0,67.0
65,8471215.0,Evgeni Malkin,C,PIT,37,82.0,27.0,40.0,67.0
66,8478440.0,Dylan Strome,C,WSH,26,82.0,27.0,40.0,67.0
67,8479337.0,Alex DeBrincat,R,DET,26,82.0,27.0,40.0,67.0
68,8480002.0,Nico Hischier,C,NJD,24,71.0,27.0,40.0,67.0
69,8476454.0,Ryan Nugent-Hopkins,C,EDM,30,80.0,18.0,49.0,67.0
70,8480208.0,Drake Batherson,R,OTT,25,82.0,28.0,38.0,66.0
71,8482740.0,Wyatt Johnston,C,DAL,20,82.0,32.0,33.0,65.0
72,8471214.0,Alex Ovechkin,L,WSH,38,79.0,31.0,34.0,65.0
73,8478449.0,Roope Hintz,C,DAL,27,80.0,30.0,35.0,65.0
74,8475166.0,John Tavares,C,TOR,33,80.0,29.0,36.0,65.0
75,8481540.0,Cole Caufield,R,MTL,22,82.0,28.0,37.0,65.0
76,8475168.0,Matt Duchene,C,DAL,32,80.0,25.0,40.0,65.0
77,8478493.0,Joel Eriksson Ek,C,MIN,26,77.0,30.0,34.0,64.0
78,8473512.0,Claude Giroux,R,OTT,35,82.0,21.0,43.0,64.0
79,8477402.0,Pavel Buchnevich,L,STL,28,80.0,27.0,36.0,63.0
80,8475692.0,Mats Zuccarello,R,MIN,36,69.0,12.0,51.0,63.0
81,8477955.0,Jared McCann,L,SEA,27,80.0,29.0,33.0,62.0
82,8476875.0,Mike Matheson,D,MTL,29,82.0,11.0,51.0,62.0
83,8478398.0,Kyle Connor,L,WPG,27,65.0,34.0,27.0,61.0
84,8477940.0,Nikolaj Ehlers,L,WPG,27,82.0,25.0,36.0,61.0
