Simulation,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points
1,8476453.0,Nikita Kucherov,R,TBL,30,81,44,100,144
1,8477492.0,Nathan MacKinnon,C,COL,28,82,51,89,140
1,8478402.0,Connor McDavid,C,EDM,26,76,32,100,132
1,8478550.0,Artemi Panarin,L,NYR,32,82,49,71,120
1,8477956.0,David Pastrnak,R,BOS,27,82,47,63,110
1,8479318.0,Auston Matthews,C,TOR,26,81,69,38,107
1,8477934.0,Leon Draisaitl,C,EDM,28,81,41,65,106
1,8478420.0,Mikko Rantanen,R,COL,27,80,42,62,104
1,8476468.0,J.T. Miller,C,VAN,30,81,37,66,103
1,8477939.0,William Nylander,R,TOR,27,82,40,58,98
1,8478864.0,Kirill Kaprizov,L,MIN,26,75,46,50,96
1,8477933.0,Sam Reinhart,C,FLA,28,82,57,37,94
1,8476887.0,Filip Forsberg,L,NSH,29,82,48,46,94
1,8471675.0,Sidney Crosby,C,PIT,36,82,42,52,94
1,8480800.0,Quinn Hughes,D,VAN,24,82,17,75,92
1,8478010.0,Brayden Point,C,TBL,27,81,46,44,90
1,8480069.0,Cale Makar,D,COL,25,77,21,69,90
1,8478427.0,Sebastian Aho,C,CAR,26,78,36,53,89
1,8480012.0,Elias Pettersson,C,VAN,25,82,34,55,89
1,8479314.0,Matthew Tkachuk,L,FLA,26,80,26,62,88
1,8480023.0,Robert Thomas,C,STL,24,82,26,60,86
1,8474600.0,Roman Josi,D,NSH,33,82,23,62,85
1,8479407.0,Jesper Bratt,L,NJD,25,82,27,56,83
1,8480803.0,Evan Bouchard,D,EDM,24,81,18,64,82
1,8474564.0,Steven Stamkos,C,TBL,33,79,40,41,81
1,8480027.0,Jason Robertson,L,DAL,24,82,29,51,80
1,8478445.0,Mathew Barzal,C,NYI,26,80,23,57,80
1,8477493.0,Aleksander Barkov,C,FLA,28,73,23,57,80
1,8475786.0,Zach Hyman,L,EDM,31,80,54,23,77
1,8480018.0,Nick Suzuki,C,MTL,24,82,33,44,77
1,8477404.0,Jake Guentzel,L,PIT,29,67,30,47,77
1,8476389.0,Vincent Trocheck,C,NYR,30,82,25,52,77
1,8479343.0,Clayton Keller,R,ARI,25,78,33,43,76
1,8475167.0,Victor Hedman,D,TBL,33,78,13,63,76
1,8475184.0,Chris Kreider,L,NYR,32,82,39,36,75
1,8475172.0,Nazem Kadri,C,CGY,33,82,29,46,75
1,8477960.0,Adrian Kempe,R,LAK,27,77,28,47,75
1,8479542.0,Brandon Hagel,L,TBL,25,82,26,49,75
1,8474679.0,Gustav Nyquist,C,NSH,34,81,23,52,75
1,8480801.0,Brady Tkachuk,L,OTT,24,81,37,37,74
1,8481559.0,Jack Hughes,C,NJD,22,62,27,47,74
1,8478444.0,Brock Boeser,R,VAN,26,81,40,33,73
1,8477942.0,Kevin Fiala,L,LAK,27,82,29,44,73
1,8479323.0,Adam Fox,D,NYR,25,72,17,56,73
1,8477409.0,Carter Verhaeghe,C,FLA,28,76,34,38,72
1,8482078.0,Lucas Raymond,L,DET,21,82,31,41,72
1,8476459.0,Mika Zibanejad,C,NYR,30,81,26,46,72
1,8476460.0,Mark Scheifele,C,WPG,30,74,25,47,72
1,8471685.0,Anze Kopitar,C,LAK,36,81,26,44,70
1,8482116.0,Tim Stützle,C,OTT,21,75,18,52,70
1,8480865.0,Noah Dobson,D,NYI,23,79,10,60,70
1,8476539.0,Jonathan Marchessault,R,VGK,33,82,42,27,69
1,8475754.0,Brock Nelson,C,NYI,32,82,34,35,69
1,8477946.0,Dylan Larkin,C,DET,27,68,33,36,69
1,8475158.0,Ryan O'Reilly,C,NSH,32,82,26,43,69
1,8477504.0,Josh Morrissey,D,WPG,28,81,10,59,69
1,8478439.0,Travis Konecny,R,PHI,26,76,33,35,68
1,8477500.0,Bo Horvat,C,NYI,28,81,33,35,68
1,8478403.0,Jack Eichel,C,VGK,27,63,31,37,68
1,8481557.0,Matt Boldy,L,MIN,22,75,29,39,68
1,8482093.0,Seth Jarvis,C,CAR,21,81,33,34,67
1,8479385.0,Jordan Kyrou,C,STL,25,82,31,36,67
1,8473419.0,Brad Marchand,L,BOS,35,82,29,38,67
1,8480002.0,Nico Hischier,C,NJD,24,71,27,40,67
1,8471215.0,Evgeni Malkin,C,PIT,37,82,27,40,67
1,8478440.0,Dylan Strome,C,WSH,26,82,27,40,67
1,8479337.0,Alex DeBrincat,R,DET,26,82,27,40,67
1,8470794.0,Joe Pavelski,C,DAL,39,82,27,40,67
1,8476454.0,Ryan Nugent-Hopkins,C,EDM,30,80,18,49,67
1,8480208.0,Drake Batherson,R,OTT,25,82,28,38,66
1,8482740.0,Wyatt Johnston,C,DAL,20,82,32,33,65
1,8471214.0,Alex Ovechkin,L,WSH,38,79,31,34,65
1,8478449.0,Roope Hintz,C,DAL,27,80,30,35,65
1,8475166.0,John Tavares,C,TOR,33,80,29,36,65
1,8481540.0,Cole Caufield,R,MTL,22,82,28,37,65
1,8475168.0,Matt Duchene,C,DAL,32,80,25,40,65
1,8478493.0,Joel Eriksson Ek,C,MIN,26,77,30,34,64
1,8473512.0,Claude Giroux,R,OTT,35,82,21,43,64
1,8477402.0,Pavel Buchnevich,L,STL,28,80,27,36,63
1,8475692.0,Mats Zuccarello,R,MIN,36,69,12,51,63
1,8477955.0,Jared McCann,L,SEA,27,80,29,33,62
1,8476875.0,Mike Matheson,D,MTL,29,82,11,51,62
1,8478398.0,Kyle Connor,L,WPG,27,65,34,27,61
1,8477940.0,Nikolaj Ehlers,L,WPG,27,82,25,36,61
1,8477951.0,Nick Schmaltz,C,ARI,27,79,22,39,61
1,8478366.0,Frank Vatrano,R,ANA,29,82,37,23,60
1,8476448.0,William Karlsson,C,VGK,30,70,30,30,60
1,8475745.0,Charlie Coyle,C,BOS,31,82,25,35,60
1,8473994.0,Jamie Benn,L,DAL,34,82,21,39,60
1,8475798.0,Mikael Granlund,C,SJS,31,69,12,48,60
1,8476346.0,Johnny Gaudreau,L,CBJ,30,81,12,48,60
1,8481068.0,Yegor Sharangovich,C,CGY,25,82,31,28,59
1,8477497.0,Sean Monahan,C,WPG,29,83,26,33,59
1,8477949.0,Alex Tuch,R,BUF,27,75,22,37,59
1,8478401.0,Pavel Zacha,C,BOS,26,78,21,38,59
1,8480839.0,Rasmus Dahlin,D,BUF,23,81,20,39,59
1,8477416.0,Oliver Bjorkstrand,R,SEA,28,82,20,39,59
1,8476853.0,Morgan Rielly,D,TOR,29,72,7,51,58
1,8479675.0,Trevor Moore,L,LAK,28,82,31,26,57
1,8482109.0,Alexis Lafrenière,L,NYR,22,82,28,29,57
1,8479999.0,Casey Mittelstadt,C,BUF,25,80,18,39,57
1,8481711.0,Matias Maccelli,L,ARI,23,82,17,40,57
1,8478460.0,Zach Werenski,D,CBJ,26,70,11,46,57
1,8479420.0,Tage Thompson,C,BUF,26,71,29,27,56
1,8475810.0,Bryan Rust,R,PIT,31,62,28,28,56
1,8477494.0,Jonathan Drouin,L,COL,28,79,19,37,56
1,8474578.0,Erik Karlsson,D,PIT,33,82,11,45,56
1,8476906.0,Shayne Gostisbehere,D,DET,30,81,10,46,56
1,8475726.0,Tyler Toffoli,R,NJD,31,79,33,22,55
1,8475765.0,Vladimir Tarasenko,R,OTT,32,76,23,32,55
1,8482124.0,Quinton Byfield,R,LAK,21,80,20,35,55
1,8478047.0,Michael Bunting,L,CAR,28,81,19,36,55
1,8475151.0,Kyle Palmieri,C,NYI,32,82,30,24,54
1,8476399.0,Blake Coleman,C,CGY,32,78,30,24,54
1,8478873.0,Troy Terry,R,ANA,26,76,20,34,54
1,8480798.0,Philipp Kurashev,C,CHI,24,75,18,36,54
1,8480036.0,Miro Heiskanen,D,DAL,24,71,9,45,54
1,8477501.0,Valeri Nichushkin,R,COL,28,54,28,25,53
1,8480015.0,Owen Tippett,R,PHI,24,78,28,25,53
1,8476882.0,Teuvo Teravainen,L,CAR,29,76,25,28,53
1,8480039.0,Martin Necas,C,CAR,24,77,24,29,53
1,8478975.0,Mason Marchment,L,DAL,28,81,22,31,53
1,8475913.0,Mark Stone,R,VGK,31,56,16,37,53
1,8478414.0,Timo Meier,R,NJD,27,69,28,24,52
1,8475794.0,Tyler Seguin,C,DAL,31,68,25,27,52
1,8477346.0,MacKenzie Weegar,D,CGY,29,82,20,32,52
1,8480830.0,Andrei Svechnikov,R,CAR,23,59,19,33,52
1,8476456.0,Jonathan Huberdeau,C,CGY,30,81,12,40,52
1,8474590.0,John Carlson,D,WSH,33,82,10,42,52
1,8474641.0,Adam Henrique,C,ANA,33,82,24,27,51
1,8476905.0,Chandler Stephenson,C,VGK,29,75,16,35,51
1,8471724.0,Kris Letang,D,PIT,36,82,10,41,51
1,8482175.0,JJ Peterka,R,BUF,21,82,28,22,50
1,8480797.0,Joel Farabee,L,PHI,23,82,22,28,50
1,8483515.0,Juraj Slafkovsky,L,MTL,19,82,20,30,50
1,8474563.0,Drew Doughty,D,LAK,34,82,15,35,50
1,8478038.0,Devon Toews,D,COL,29,82,12,38,50
1,8477456.0,J.T. Compher,L,DET,28,77,19,29,48
1,8479425.0,Filip Hronek,D,VAN,26,81,5,43,48
1,8474141.0,Patrick Kane,R,DET,35,50,20,27,47
1,8478856.0,Conor Garland,R,VAN,27,82,20,27,47
1,8481528.0,Dylan Cozens,C,BUF,22,79,18,29,47
1,8476479.0,Phillip Danault,C,LAK,30,78,17,30,47
1,8474102.0,David Perron,L,DET,35,76,17,30,47
1,8481581.0,Thomas Harley,D,DAL,22,79,15,32,47
1,8478396.0,Noah Hanifin,D,CGY,26,80,13,34,47
1,8476869.0,Brady Skjei,D,CAR,29,80,13,34,47
1,8479325.0,Charlie McAvoy,D,BOS,26,74,12,35,47
1,8482684.0,Luke Hughes,D,NJD,20,82,9,38,47
1,8477503.0,Max Domi,C,TOR,28,80,9,38,47
1,8482122.0,Brock Faber,D,MIN,21,82,8,39,47
1,8477426.0,Nicholas Paul,L,TBL,28,82,24,22,46
1,8475784.0,Jeff Skinner,L,BUF,31,74,24,22,46
1,8483808.0,Andrei Kuzmenko,L,CGY,27,72,22,24,46
1,8475170.0,Brayden Schenn,C,STL,32,82,20,26,46
1,8478407.0,Vince Dunn,D,SEA,27,59,11,35,46
1,8475760.0,Nick Bjugstad,C,ARI,31,76,22,23,45
1,8477451.0,Ryan Hartman,R,MIN,29,74,21,24,45
1,8478519.0,Anthony Cirelli,C,TBL,26,79,20,25,45
1,8477964.0,Ivan Barbashev,C,VGK,28,82,19,26,45
1,8478438.0,Tommy Novak,C,NSH,26,71,18,27,45
1,8482667.0,William Eklund,L,SJS,21,80,16,29,45
1,8477021.0,Alex Kerfoot,C,ARI,29,82,13,32,45
1,8475218.0,Mattias Ekholm,D,EDM,33,79,11,34,45
