,Abbreviation,Team,Wins,Losses,OTL,Points,Goals For,Goals Against
1,NYR,New York Rangers,55.0,23.0,4.0,114.0,278.0,226.0
2,DAL,Dallas Stars,52.0,21.0,9.0,113.0,294.0,232.0
3,CAR,Carolina Hurricanes,52.0,23.0,7.0,111.0,277.0,211.0
4,FLA,Florida Panthers,52.0,24.0,6.0,110.0,265.0,198.0
5,WPG,Winnipeg Jets,52.0,24.0,6.0,110.0,259.0,198.0
6,VAN,Vancouver Canucks,50.0,23.0,9.0,109.0,279.0,221.0
7,BOS,Boston Bruins,47.0,20.0,15.0,109.0,263.0,221.0
8,COL,Colorado Avalanche,50.0,25.0,7.0,107.0,302.0,252.0
9,EDM,Edmonton Oilers,49.0,27.0,6.0,104.0,292.0,236.0
10,TOR,Toronto Maple Leafs,46.0,26.0,10.0,102.0,298.0,261.0
11,NSH,Nashville Predators,47.0,30.0,5.0,99.0,266.0,248.0
12,LAK,Los Angeles Kings,44.0,27.0,11.0,99.0,254.0,210.0
13,TBL,Tampa Bay Lightning,45.0,29.0,8.0,98.0,288.0,267.0
14,VGK,Vegas Golden Knights,45.0,29.0,8.0,98.0,263.0,243.0
15,NYI,New York Islanders,39.0,27.0,16.0,94.0,245.0,258.0
16,STL,St. Louis Blues,43.0,33.0,6.0,92.0,234.0,248.0
17,DET,Detroit Red Wings,41.0,32.0,9.0,91.0,275.0,273.0
18,WSH,Washington Capitals,40.0,31.0,11.0,91.0,216.0,252.0
19,MIN,Minnesota Wild,39.0,33.0,10.0,88.0,247.0,260.0
20,PIT,Pittsburgh Penguins,38.0,32.0,12.0,88.0,253.0,246.0
21,PHI,Philadelphia Flyers,38.0,33.0,11.0,87.0,231.0,258.0
22,BUF,Buffalo Sabres,39.0,37.0,6.0,84.0,244.0,243.0
23,NJD,New Jersey Devils,38.0,39.0,5.0,81.0,264.0,280.0
24,CGY,Calgary Flames,38.0,39.0,5.0,81.0,253.0,267.0
25,SEA,Seattle Kraken,34.0,35.0,13.0,81.0,214.0,232.0
26,OTT,Ottawa Senators,37.0,41.0,4.0,78.0,250.0,281.0
27,ARI,Arizona Coyotes,36.0,41.0,5.0,77.0,254.0,274.0
28,MTL,Montréal Canadiens,30.0,36.0,16.0,76.0,232.0,281.0
29,CBJ,Columbus Blue Jackets,27.0,43.0,12.0,66.0,234.0,298.0
30,ANA,Anaheim Ducks,27.0,50.0,5.0,59.0,203.0,292.0
31,CHI,Chicago Blackhawks,23.0,53.0,6.0,52.0,178.0,289.0
32,SJS,San Jose Sharks,19.0,54.0,9.0,47.0,180.0,326.0
