Simulation,Abbreviation,Team,Wins,Losses,OTL,Points,Goals For,Goals Against
1,NYR,New York Rangers,55,23,4,114,278,226
1,DAL,Dallas Stars,52,21,9,113,294,232
1,CAR,Carolina Hurricanes,52,23,7,111,277,211
1,FLA,Florida Panthers,52,24,6,110,265,198
1,WPG,Winnipeg Jets,52,24,6,110,259,198
1,VAN,Vancouver Canucks,50,23,9,109,279,221
1,BOS,Boston Bruins,47,20,15,109,263,221
1,COL,Colorado Avalanche,50,25,7,107,302,252
1,EDM,Edmonton Oilers,49,27,6,104,292,236
1,TOR,Toronto Maple Leafs,46,26,10,102,298,261
1,NSH,Nashville Predators,47,30,5,99,266,248
1,LAK,Los Angeles Kings,44,27,11,99,254,210
1,TBL,Tampa Bay Lightning,45,29,8,98,288,267
1,VGK,Vegas Golden Knights,45,29,8,98,263,243
1,NYI,New York Islanders,39,27,16,94,245,258
1,STL,St. Louis Blues,43,33,6,92,234,248
1,DET,Detroit Red Wings,41,32,9,91,275,273
1,WSH,Washington Capitals,40,31,11,91,216,252
1,MIN,Minnesota Wild,39,33,10,88,247,260
1,PIT,Pittsburgh Penguins,38,32,12,88,253,246
1,PHI,Philadelphia Flyers,38,33,11,87,231,258
1,BUF,Buffalo Sabres,39,37,6,84,244,243
1,NJD,New Jersey Devils,38,39,5,81,264,280
1,CGY,Calgary Flames,38,39,5,81,253,267
1,SEA,Seattle Kraken,34,35,13,81,214,232
1,OTT,Ottawa Senators,37,41,4,78,250,281
1,ARI,Arizona Coyotes,36,41,5,77,254,274
1,MTL,Montréal Canadiens,30,36,16,76,232,281
1,CBJ,Columbus Blue Jackets,27,43,12,66,234,298
1,ANA,Anaheim Ducks,27,50,5,59,203,292
1,CHI,Chicago Blackhawks,23,53,6,52,178,289
1,SJS,San Jose Sharks,19,54,9,47,180,326
2,NYR,New York Rangers,55,23,4,114,278,226
2,DAL,Dallas Stars,52,21,9,113,294,232
2,CAR,Carolina Hurricanes,52,23,7,111,277,211
2,FLA,Florida Panthers,52,24,6,110,265,198
2,WPG,Winnipeg Jets,52,24,6,110,259,198
2,VAN,Vancouver Canucks,50,23,9,109,279,221
2,BOS,Boston Bruins,47,20,15,109,263,221
2,COL,Colorado Avalanche,50,25,7,107,302,252
2,EDM,Edmonton Oilers,49,27,6,104,292,236
2,TOR,Toronto Maple Leafs,46,26,10,102,298,261
2,NSH,Nashville Predators,47,30,5,99,266,248
2,LAK,Los Angeles Kings,44,27,11,99,254,210
2,TBL,Tampa Bay Lightning,45,29,8,98,288,267
2,VGK,Vegas Golden Knights,45,29,8,98,263,243
2,NYI,New York Islanders,39,27,16,94,245,258
2,STL,St. Louis Blues,43,33,6,92,234,248
2,DET,Detroit Red Wings,41,32,9,91,275,273
2,WSH,Washington Capitals,40,31,11,91,216,252
2,MIN,Minnesota Wild,39,33,10,88,247,260
2,PIT,Pittsburgh Penguins,38,32,12,88,253,246
2,PHI,Philadelphia Flyers,38,33,11,87,231,258
2,BUF,Buffalo Sabres,39,37,6,84,244,243
2,NJD,New Jersey Devils,38,39,5,81,264,280
2,CGY,Calgary Flames,38,39,5,81,253,267
2,SEA,Seattle Kraken,34,35,13,81,214,232
2,OTT,Ottawa Senators,37,41,4,78,250,281
2,ARI,Arizona Coyotes,36,41,5,77,254,274
2,MTL,Montréal Canadiens,30,36,16,76,232,281
2,CBJ,Columbus Blue Jackets,27,43,12,66,234,298
2,ANA,Anaheim Ducks,27,50,5,59,203,292
2,CHI,Chicago Blackhawks,23,53,6,52,178,289
2,SJS,San Jose Sharks,19,54,9,47,180,326
3,NYR,New York Rangers,55,23,4,114,278,226
3,DAL,Dallas Stars,52,21,9,113,294,232
3,CAR,Carolina Hurricanes,52,23,7,111,277,211
3,FLA,Florida Panthers,52,24,6,110,265,198
3,WPG,Winnipeg Jets,52,24,6,110,259,198
3,VAN,Vancouver Canucks,50,23,9,109,279,221
3,BOS,Boston Bruins,47,20,15,109,263,221
3,COL,Colorado Avalanche,50,25,7,107,302,252
3,EDM,Edmonton Oilers,49,27,6,104,292,236
3,TOR,Toronto Maple Leafs,46,26,10,102,298,261
3,NSH,Nashville Predators,47,30,5,99,266,248
3,LAK,Los Angeles Kings,44,27,11,99,254,210
3,TBL,Tampa Bay Lightning,45,29,8,98,288,267
3,VGK,Vegas Golden Knights,45,29,8,98,263,243
3,NYI,New York Islanders,39,27,16,94,245,258
3,STL,St. Louis Blues,43,33,6,92,234,248
3,DET,Detroit Red Wings,41,32,9,91,275,273
3,WSH,Washington Capitals,40,31,11,91,216,252
3,MIN,Minnesota Wild,39,33,10,88,247,260
3,PIT,Pittsburgh Penguins,38,32,12,88,253,246
3,PHI,Philadelphia Flyers,38,33,11,87,231,258
3,BUF,Buffalo Sabres,39,37,6,84,244,243
3,NJD,New Jersey Devils,38,39,5,81,264,280
3,CGY,Calgary Flames,38,39,5,81,253,267
3,SEA,Seattle Kraken,34,35,13,81,214,232
3,OTT,Ottawa Senators,37,41,4,78,250,281
3,ARI,Arizona Coyotes,36,41,5,77,254,274
3,MTL,Montréal Canadiens,30,36,16,76,232,281
3,CBJ,Columbus Blue Jackets,27,43,12,66,234,298
3,ANA,Anaheim Ducks,27,50,5,59,203,292
3,CHI,Chicago Blackhawks,23,53,6,52,178,289
3,SJS,San Jose Sharks,19,54,9,47,180,326
4,NYR,New York Rangers,55,23,4,114,278,226
4,DAL,Dallas Stars,52,21,9,113,294,232
4,CAR,Carolina Hurricanes,52,23,7,111,277,211
4,FLA,Florida Panthers,52,24,6,110,265,198
4,WPG,Winnipeg Jets,52,24,6,110,259,198
4,VAN,Vancouver Canucks,50,23,9,109,279,221
4,BOS,Boston Bruins,47,20,15,109,263,221
4,COL,Colorado Avalanche,50,25,7,107,302,252
4,EDM,Edmonton Oilers,49,27,6,104,292,236
4,TOR,Toronto Maple Leafs,46,26,10,102,298,261
4,NSH,Nashville Predators,47,30,5,99,266,248
4,LAK,Los Angeles Kings,44,27,11,99,254,210
4,TBL,Tampa Bay Lightning,45,29,8,98,288,267
4,VGK,Vegas Golden Knights,45,29,8,98,263,243
4,NYI,New York Islanders,39,27,16,94,245,258
