,Team,GA/GP
0,San Jose Sharks,3.975609756097561
1,Columbus Blue Jackets,3.6341463414634148
2,Anaheim Ducks,3.5609756097560976
3,Chicago Blackhawks,3.524390243902439
4,Montreal Canadiens,3.426829268292683
5,Ottawa Senators,3.426829268292683
6,New Jersey Devils,3.4146341463414633
7,Arizona Coyotes,3.341463414634146
8,Detroit Red Wings,3.3292682926829267
9,Calgary Flames,3.2560975609756095
10,Tampa Bay Lightning,3.2560975609756095
11,Toronto Maple Leafs,3.182926829268293
12,Minnesota Wild,3.1707317073170733
13,New York Islanders,3.1463414634146343
14,Philadelphia Flyers,3.1463414634146343
15,Washington Capitals,3.073170731707317
16,Colorado Avalanche,3.073170731707317
17,St Louis Blues,3.024390243902439
18,Nashville Predators,3.024390243902439
19,Pittsburgh Penguins,3.0
20,Vegas Golden Knights,2.9634146341463414
21,Buffalo Sabres,2.9634146341463414
22,Edmonton Oilers,2.8780487804878048
23,Dallas Stars,2.8292682926829267
24,Seattle Kraken,2.8292682926829267
25,New York Rangers,2.7560975609756095
26,Boston Bruins,2.6951219512195124
27,Vancouver Canucks,2.6951219512195124
28,Carolina Hurricanes,2.573170731707317
29,Los Angeles Kings,2.5609756097560976
30,Winnipeg Jets,2.4146341463414633
31,Florida Panthers,2.4146341463414633
