,Abbreviation,Team,Wins,Losses,OTL,Goals For,Goals Against,Points,Presidents,Playoffs,Pts_90PI_low,Pts_90PI_high,P_60Pts,P_70Pts,P_80Pts,P_90Pts,P_100Pts,P_110Pts,P_120Pts
0,COL,Colorado Avalanche,54.732499387509435,22.246310331475698,5.0211902810148565,294.52476060415086,215.6024389226696,114.48618905603372,0.3346613545816733,0.9681274900398407,94.0,123.0,1.0,1.0,1.0,0.9840637450199203,0.8406374501992032,0.46215139442231074,0.11553784860557768
1,EDM,Edmonton Oilers,52.7310211306494,24.046769653929584,5.2222092154209925,309.5211802437893,237.37101480860284,110.6842514767198,0.099601593625498,0.8884462151394422,87.0,115.0,1.0,1.0,0.9920318725099602,0.9203187250996016,0.6055776892430279,0.19123505976095617,0.02390438247011952
2,TBL,Tampa Bay Lightning,52.828032486308075,25.163534954965492,4.008432558726435,316.9248789055349,244.595188363618,109.66449753134259,0.08366533864541832,0.8924302788844621,87.0,115.0,1.0,1.0,0.9960159362549801,0.896414342629482,0.5936254980079682,0.16733067729083664,0.01593625498007968
3,CAR,Carolina Hurricanes,51.92981058903308,25.346944000322996,4.723245410643921,287.9039076743464,227.87248135870655,108.58286658871009,0.12350597609561753,0.9163346613545816,88.0,117.0,1.0,1.0,1.0,0.9362549800796812,0.6055776892430279,0.22310756972111553,0.02390438247011952
4,LAK,Los Angeles Kings,48.54021951821938,27.46698565856298,5.992794823217646,261.2580894343693,219.31345227714922,103.07323385965641,0.04780876494023904,0.8047808764940239,84.0,113.0,1.0,1.0,0.9920318725099602,0.8605577689243028,0.450199203187251,0.11553784860557768,0.00796812749003984
5,STL,St. Louis Blues,48.25737633129959,28.40385291706598,5.338770751634433,263.4010299659023,226.62244708594503,101.8535234142336,0.043824701195219126,0.8207171314741036,86.0,112.5,1.0,1.0,0.9920318725099602,0.8844621513944223,0.5139442231075697,0.10358565737051793,0.0
6,VGK,Vegas Golden Knights,46.67198458682238,28.200737137148895,7.127278276028725,291.3417456022686,255.1435544780067,100.47124744967348,0.05179282868525897,0.7808764940239044,85.0,113.5,1.0,0.9960159362549801,0.9800796812749004,0.852589641434263,0.46613545816733065,0.099601593625498,0.0
7,NYR,New York Rangers,46.13971096507855,30.405460125673276,5.454828909248162,264.80125123672474,231.29535121271834,97.73425083940526,0.027888446215139442,0.7689243027888446,83.0,111.0,1.0,1.0,0.9920318725099602,0.8247011952191236,0.3944223107569721,0.07569721115537849,0.0
8,WPG,Winnipeg Jets,45.06662122126181,31.120913297840904,5.812465480897304,264.4652173774396,241.7262398530838,95.94570792342093,0.0398406374501992,0.6653386454183267,82.0,112.0,1.0,1.0,0.9721115537848606,0.7649402390438247,0.350597609561753,0.09561752988047809,0.01195219123505976
9,DAL,Dallas Stars,44.83455787970502,31.46392764249156,5.701514477803422,289.6522918312926,271.7934340561406,95.37063023721346,0.0199203187250996,0.6135458167330677,80.0,109.0,1.0,1.0,0.952191235059761,0.7410358565737052,0.3466135458167331,0.043824701195219126,0.00398406374501992
10,NJD,New Jersey Devils,44.691056191718076,31.669387980850622,5.639555827431295,283.37604189036966,264.7248982306641,95.02166821086745,0.0199203187250996,0.6772908366533864,80.0,109.0,1.0,1.0,0.9561752988047809,0.7529880478087649,0.29880478087649404,0.04780876494023904,0.00398406374501992
11,VAN,Vancouver Canucks,44.17561350597363,32.05949860868087,5.7648878853455,263.43518000597766,243.89210393775048,94.11611489729276,0.00796812749003984,0.545816733067729,78.0,107.0,0.9960159362549801,0.9960159362549801,0.9322709163346613,0.6533864541832669,0.20717131474103587,0.03187250996015936,0.0
12,PIT,Pittsburgh Penguins,41.89540943267604,34.23526538581941,5.869325181504571,288.9658780020608,287.3898519203964,89.66014404685666,0.00398406374501992,0.5816733067729084,79.5,106.5,1.0,1.0,0.9482071713147411,0.6812749003984063,0.23107569721115537,0.0199203187250996,0.0
13,BOS,Boston Bruins,41.60346101794641,33.96298730330091,6.433551678752672,249.0467105292362,247.06297983147095,89.6404737146455,0.01593625498007968,0.7171314741035857,82.0,107.5,1.0,1.0,0.9681274900398407,0.7609561752988048,0.2948207171314741,0.03187250996015936,0.00398406374501992
14,WSH,Washington Capitals,41.39117803462748,34.26143092759043,6.347391037782095,254.07736693061074,253.58217587962093,89.12974710703705,0.01593625498007968,0.5418326693227091,78.0,105.0,1.0,1.0,0.9203187250996016,0.6294820717131474,0.20717131474103587,0.027888446215139442,0.0
15,FLA,Florida Panthers,40.91636443928147,34.505741015184604,6.577894545533912,244.09442282091013,246.7937724209381,88.41062342409685,0.01195219123505976,0.6533864541832669,79.5,106.5,1.0,0.9880478087649402,0.9482071713147411,0.7370517928286853,0.23107569721115537,0.0199203187250996,0.0
16,MIN,Minnesota Wild,40.48985016134736,34.958286615844344,6.551863222808305,251.07413899590753,254.61727708264732,87.53156354550303,0.01195219123505976,0.4262948207171315,75.0,105.5,1.0,0.9920318725099602,0.900398406374502,0.6055776892430279,0.199203187250996,0.0199203187250996,0.0
17,DET,Detroit Red Wings,40.574208217929794,35.10653180174046,6.319259980329734,266.03429421789383,271.28989779280016,87.46767641618932,0.01593625498007968,0.5059760956175299,77.0,107.0,1.0,0.9920318725099602,0.896414342629482,0.6095617529880478,0.199203187250996,0.035856573705179286,0.0
18,NSH,Nashville Predators,39.59361046683518,35.00323348772759,7.403156045437243,264.17396319806164,272.1248543222778,86.5903769791076,0.00398406374501992,0.5059760956175299,79.0,107.5,1.0,0.9960159362549801,0.9442231075697212,0.6613545816733067,0.2350597609561753,0.03187250996015936,0.0
19,TOR,Toronto Maple Leafs,38.92863286560461,36.64631211628276,6.425055018112627,264.61894238255434,274.39034195486914,84.28232074932185,0.00398406374501992,0.38247011952191234,76.0,101.5,1.0,0.9960159362549801,0.8605577689243028,0.47808764940239046,0.10358565737051793,0.00398406374501992,0.0
20,UTA,Utah Mammoth,38.44215414078346,37.00232252748095,6.555523331735582,252.91886216739528,266.4032771605193,83.4398316133025,0.00796812749003984,0.28286852589641437,72.0,101.5,1.0,0.9681274900398407,0.8286852589641435,0.4302788844621514,0.08366533864541832,0.00398406374501992,0.0
21,MTL,Montréal Canadiens,37.72353575856064,37.70908304801078,6.567381193428593,268.4008838549885,288.56216028033964,82.01445271054986,0.0,0.3466135458167331,74.5,102.0,1.0,0.9880478087649402,0.8565737051792829,0.4541832669322709,0.0796812749003984,0.00398406374501992,0.0
22,PHI,Philadelphia Flyers,36.453058015268894,37.74320515922344,7.803736825507669,253.76850294235575,275.6716412534199,80.70985285604546,0.00796812749003984,0.33067729083665337,75.5,101.0,1.0,0.9960159362549801,0.848605577689243,0.4262948207171315,0.09561752988047809,0.00796812749003984,0.0
23,OTT,Ottawa Senators,37.05307145566207,38.37956802807266,6.567360516265302,265.69308347911306,291.70573919202985,80.67350342758944,0.0,0.3147410358565737,72.0,102.0,1.0,0.9681274900398407,0.7928286852589641,0.3784860557768924,0.09561752988047809,0.0,0.0
24,NYI,New York Islanders,36.50956212436571,38.426420398193436,7.064017477440863,228.9110420700133,250.625414066149,80.08314172617227,0.0,0.22709163346613545,69.0,98.0,0.9920318725099602,0.9442231075697212,0.7649402390438247,0.30278884462151395,0.027888446215139442,0.00398406374501992,0.0
25,SJS,San Jose Sharks,34.64485367276463,38.23542339227785,9.119722934957522,247.35032257398353,279.50944530439585,78.40943028048679,0.0,0.2350597609561753,73.0,100.5,1.0,0.9840637450199203,0.8047808764940239,0.32669322709163345,0.07171314741035857,0.0,0.0
26,SEA,Seattle Kraken,33.3488754114509,41.26104841330765,7.390076175241432,240.36367168381898,287.24647358853184,74.08782699814323,0.0,0.22709163346613545,68.5,100.5,0.9920318725099602,0.9402390438247012,0.7569721115537849,0.3784860557768924,0.06772908366533864,0.00398406374501992,0.0
27,CBJ,Columbus Blue Jackets,32.18810098789367,42.57541926581262,7.236479746293705,247.04712268621324,294.2679335804595,71.61268172208105,0.0,0.11952191235059761,68.0,95.0,0.9920318725099602,0.9322709163346613,0.6772908366533864,0.18725099601593626,0.0199203187250996,0.00398406374501992,0.0
28,ANA,Anaheim Ducks,31.56404699720387,43.21095625473188,7.2249967480642425,255.47000920815404,313.293753145835,70.35309074247198,0.0,0.099601593625498,68.5,95.0,0.9960159362549801,0.9402390438247012,0.649402390438247,0.1752988047808765,0.0199203187250996,0.0,0.0
